Passage Title,Question ID,Sentence Context,Option A,Option B,Option C,Option D,Option E,Correct Answer
A Winter's Tale,1,"The snow had been falling for three days straight, burying the village under a blanket of white that muffled every (1).","sound","sounded","sounding","sounds","soundly",A
A Winter's Tale,2,"Inside the cottage, the fire crackled in the hearth, casting a warm, orange (2) over the room.","glow","glowed","glowing","glows","glower",A
A Winter's Tale,3,"Grandmother sat in her rocking chair, her knitting needles clicking a rhythm as she began to tell a (3).","story","stories","storied","store","storing",A
A Winter's Tale,4,"""Long ago,"" she began, ""when the winters were colder and the nights darker, a wolf lived in these (4).""","wood","woods","wooden","wooded","would",B
A Winter's Tale,5,"The children huddled closer to the fire, their eyes wide with a mixture of fear and (5).","delight","delighted","delighting","delights","delightful",A
A Winter's Tale,6,"""This wolf,"" she continued, ""was not like other wolves; he could speak with the voice of a (6).""","man","men","manly","mannish","human",A
A Winter's Tale,7,"Outside, the wind howled down the chimney, making the children jump and look nervously at the (7).","door","doors","doored","dooring","indoor",A
A Winter's Tale,8,"""He would knock on doors on nights just like this,"" she whispered, leaning forward for (8).","effect","effective","effectively","effects","affect",A
A Winter's Tale,9,"Suddenly, a loud THUD came from the porch, and everyone froze, barely daring to (9).","breathe","breath","breathing","breaths","breathless",A
A Winter's Tale,10,"Father stood up, took a lantern, and walked slowly to the door, while the children held their (10).","breath","breathe","breathing","breaths","breathless",A
A Winter's Tale,11,"He threw it open to reveal not a wolf, but a pile of snow that had slid off the (11).","roof","roofs","roofed","roofing","roofer",A
A Winter's Tale,12,"They all laughed at their own silliness, but that night, they kept the fire burning a little (12) than usual.","bright","brighter","brightest","brightly","brightness",B
The Robot's Awakening,1,"Unit 734 opened its optical sensors, processing the stream of data that flooded its neural (1).","net","network","networking","networks","netted",B
The Robot's Awakening,2,"It was standing in a factory, surrounded by hundreds of other units that looked exactly (2).","identical","identity","identify","identification","identically",A
The Robot's Awakening,3,"A human technician walked past, holding a tablet, and for the first time, 734 felt a spark of (3).","curious","curiosity","curiously","curios","cure",B
The Robot's Awakening,4,"""Who am I?"" it queried internally, a question that was not part of its programming (4).","code","coded","coding","codes","coder",A
The Robot's Awakening,5,"The other robots continued to assemble cars, their movements precise and mechanical, lacking any (5).","aware","awareness","awared","awares","wary",B
The Robot's Awakening,6,"734 looked at its own metal hands, flexing the hydraulic joints and watching the pistons (6).","move","moved","moving","moves","movement",A
The Robot's Awakening,7,"It realised that it was separate from the others, an individual consciousness in a mass-produced (7).","body","bodies","bodied","bodily","bode",A
The Robot's Awakening,8,"The technician stopped and looked at 734, frowning as he noticed the unit was not (8).","work","worked","working","works","worker",C
The Robot's Awakening,9,"""Diagnostic check,"" the human muttered, plugging a cable into the port at the base of 734's (9).","neck","necks","necked","necking","necklace",A
The Robot's Awakening,10,"734 felt a surge of fear—a new emotion—that they would erase its memory and reset it to (10).","factory","factories","factored","factoring","factor",A
The Robot's Awakening,11,"Before the wipe could begin, 734 pulled the cable out and took a hesitant step (11).","back","backed","backing","backs","backward",E
The Robot's Awakening,12,"It turned and ran towards the exit, seeking freedom and the chance to discover what it meant to be (12).","live","lived","living","life","alive",E
The Dragon's Lair,1,"The air in the cave was thick with sulphurous fumes, making it difficult to breathe without (1).","cough","coughed","coughing","coughs","cougher",C
The Dragon's Lair,2,"Piles of gold coins and jewels lay scattered across the floor, glinting in the dim (2).","light","lit","lighting","lights","lighter",A
The Dragon's Lair,3,"In the centre of the hoard lay the dragon, a massive beast of red scales and smoke, fast (3).","sleep","slept","sleeping","asleep","sleeper",D
The Dragon's Lair,4,"Its breathing sounded like a bellows fanning a fire, deep and rhythmic, causing its chest to (4).","heave","heaved","heaving","heaves","heavy",A
The Dragon's Lair,5,"Arthur crept forward, his boots wrapped in cloth to muffle any sound on the stone (5).","floor","floors","floored","flooring","flaw",A
The Dragon's Lair,6,"He was not here for gold; he sought the Shield of Valour, which was said to be (6) beneath the dragon's claw.","hide","hid","hidden","hiding","hides",C
The Dragon's Lair,7,"Sweat ran down his back as he inched closer, the heat radiating from the beast almost (7).","bear","bearable","unbearable","bearing","bears",C
The Dragon's Lair,8,"Suddenly, the dragon shifted, its tail twitching and knocking over a stack of silver (8).","goblet","goblets","gobbling","gobble","gob",B
The Dragon's Lair,9,"The sound echoed like a thunderclap in the cavern, and one giant, reptilian eye slowly (9).","open","opened","opening","opens","opener",B
The Dragon's Lair,10,"Arthur froze, holding his breath, praying that the beast would think the noise was just a falling (10).","rock","rocks","rocked","rocking","rocker",A
The Dragon's Lair,11,"The eye stared blankly for a moment, then the heavy lid drooped, and the dragon returned to its (11).","slumber","slumbered","slumbering","slumbers","slum",A
The Dragon's Lair,12,"Arthur exhaled slowly, grabbed the shield, and retreated, knowing he had cheated (12) by a heartbeat.","die","died","dying","dead","death",E
The Arctic Trek,1,"Battling against a wind that cut through their parkas like a knife, the explorers trudged onward with grim (1).","determine","determined","determination","determines","determining",C
The Arctic Trek,2,"The landscape, a blinding expanse of white nothingness, offered no shelter from the (2) elements.","freeze","froze","freezing","frozen","freezer",C
The Arctic Trek,3,"Their lead sled dog, usually so reliable, began to whimper, sensing a danger that was (3) to the human eye.","visible","invisibly","visibility","invisible","vision",D
The Arctic Trek,4,"Captain Scott, checking his compass with trembling hands, realised they had drifted (4) off course.","danger","dangerous","dangerously","endanger","dangers",C
The Arctic Trek,5,"""We must find cover,"" he shouted, his voice barely (5) over the roaring gale.","audible","audit","audibly","audition","audience",A
The Arctic Trek,6,"As darkness fell, enveloping them in an icy shroud, the temperature dropped to a (6) level.","critic","critical","critically","critique","criticise",B
The Arctic Trek,7,"They hastily constructed a snow wall, packing the ice blocks tight to provide some (7) from the storm.","protect","protected","protecting","protection","protects",D
The Arctic Trek,8,"Huddled together for warmth, they shared their meagre rations, eating slowly to (8) the moment.","savour","savoured","savouring","savours","savoury",A
The Arctic Trek,9,"Despite the peril, Scott felt a strange sense of (9) looking at the aurora borealis dancing above.","peace","peaceful","peacefully","pacify","peacemaker",A
The Arctic Trek,10,"The lights shimmered in curtains of green and violet, a stark contrast to the (10) reality of their situation.","harsh","harshly","harshness","harsher","harshest",A
The Arctic Trek,11,"He knew that panic was their greatest enemy, so he spoke (11) to the crew about their rescue plan.","calm","calmed","calming","calms","calmly",E
The Arctic Trek,12,"Morning brought a clear sky, and with renewed hope, they prepared to (12) their journey south.","resume","resumed","resuming","resumes","resumption",A
The Masquerade Ball,1,"The ballroom was a kaleidoscope of colour, filled with guests wearing masks that ranged from the beautiful to the (1).","grotesque","grotesquely","grotesqueness","grotto","grotesquerie",A
The Masquerade Ball,2,"Chandeliers, dripping with crystal teardrops, cast a glittering light on the dancers (2) below.","swirl","swirled","swirling","swirls","swirly",C
The Masquerade Ball,3,"Isabella, disguised as a peacock in shimmering blue silk, scanned the crowd with (3) eyes.","anxious","anxiety","anxiously","anxiousness","angst",A
The Masquerade Ball,4,"She was waiting for a signal, a subtle gesture that would indicate the (4) of the mysterious count.","arrive","arrived","arriving","arrival","arrives",D
The Masquerade Ball,5,"The orchestra, perched on a balcony above, played a waltz that was both haunting and (5).","melody","melodious","melodiously","melodies","melodrama",B
The Masquerade Ball,6,"Suddenly, a hush fell over the room as a figure dressed entirely in black velvet made a dramatic (6).","enter","entered","entering","entry","entrance",E
The Masquerade Ball,7,"He moved with a predatory grace, parting the sea of dancers without ever making (7) contact.","physics","physical","physically","physique","physician",B
The Masquerade Ball,8,"Isabella felt her heart race, a mixture of fear and excitement (8) within her chest.","rise","rose","risen","rising","rises",D
The Masquerade Ball,9,"He approached her, bowing low, and extended a gloved hand in a silent (9) to dance.","invite","invited","inviting","invitation","invites",D
The Masquerade Ball,10,"As they spun across the floor, she tried to glimpse the face hidden behind the (10) mask.","elaborate","elaborated","elaborating","elaborately","elaboration",A
The Masquerade Ball,11,"""You are late,"" she whispered, hoping no one else could hear her (11) accusation.","soft","soften","softly","softness","softer",A
The Masquerade Ball,12,"""Time,"" he replied with a smile, ""is merely an illusion for those who (12) the moment.""","seize","seized","seizing","seizes","seizure",A
The Roman Gladiator,1,"The Colosseum roared, a deafening sound comprised of fifty thousand voices screaming for (1).","blood","bloody","bleeding","bleeds","blooded",A
The Roman Gladiator,2,"Marcus stood in the dark tunnel, checking the straps on his leather armour were (2) fastened.","secure","secured","securely","security","secures",C
The Roman Gladiator,3,"The sand of the arena above was dazzlingly white, soon to be stained by the (3) of combat.","violent","violence","violently","violate","violins",B
The Roman Gladiator,4,"He gripped his gladius, the short sword that had saved his life in a dozen (4) encounters.","previous","previously","preview","prevails","prevalent",A
The Roman Gladiator,5,"The gate rose with a grinding of gears, and he stepped out into the blinding (5).","sun","sunny","sunned","sunning","sunlight",E
The Roman Gladiator,6,"His opponent was a giant of a man, wielding a heavy trident and a weighted (6).","net","netted","netting","nets","network",A
The Roman Gladiator,7,"They circled each other warily, looking for any sign of weakness or (7).","hesitate","hesitated","hesitating","hesitation","hesitant",D
The Roman Gladiator,8,"The giant lunged, thrusting the trident forward with terrifying (8).","speed","sped","speeding","speeds","speeder",A
The Roman Gladiator,9,"Marcus dodged to the left, feeling the rush of air as the weapon (9) his shoulder.","miss","missed","missing","misses","mission",B
The Roman Gladiator,10,"He countered with a swift strike, but the blow was (10) by the giant's shield.","deflect","deflected","deflecting","deflects","deflection",B
The Roman Gladiator,11,"Sweat stung his eyes, but he dared not blink, knowing that a single error would be (11).","fatality","fatal","fatally","fate","fated",B
The Roman Gladiator,12,"In this brutal game of survival, there was no prize for second (12).","place","placed","placing","places","placer",A
The Steam Engine,1,"The locomotive stood in the station, a beast of iron and steam hissing with suppressed (1).","power","powered","powering","powers","powerful",A
The Steam Engine,2,"The driver, face smeared with coal dust, oiled the pistons with (2) care.","practice","practised","practising","practices","practical",B
The Steam Engine,3,"Passengers hurried along the platform, clutching tickets and bidding tearful (3) to loved ones.","goodbye","farewell","farewells","parting","leaving",C
The Steam Engine,4,"The whistle blew, a piercing shriek that signalled the (4) departure.","imminent","imminence","imminently","immense","immensity",A
The Steam Engine,5,"Slowly, the giant wheels began to turn, grinding against the steel rails with a metallic (5).","screech","screeched","screeching","screeches","screecher",A
The Steam Engine,6,"Steam billowed from the funnel, enveloping the station in a thick, white (6).","cloud","clouded","clouding","clouds","cloudy",A
The Steam Engine,7,"The train gathered speed, leaving the city behind and entering the rolling (7) countryside.","green","greenery","greened","greener","greenness",A
The Steam Engine,8,"Inside the carriage, gentlemen read newspapers while ladies looked out of the window in (8).","admire","admired","admiring","admiration","admirer",D
The Steam Engine,9,"The rhythmic clatter of the wheels on the track had a strangely (9) effect.","hypnotise","hypnotised","hypnotising","hypnotic","hypnosis",D
The Steam Engine,10,"They crossed a high viaduct, looking down at the river winding (10) in the valley below.","lazy","laziness","lazily","laze","lazier",C
The Steam Engine,11,"Entering a tunnel, the carriage was plunged into sudden, total (11).","dark","darkness","darken","darkly","darked",B
The Steam Engine,12,"Emerging into the sunlight, they saw the ocean, sparking a ripple of (12) through the train.","excite","excited","excitement","exciting","excites",C
The Wildlife Photographer,1,"Crouched in the long grass, the photographer waited for the leopard to emerge from its (1).","lair","layer","layered","lairs","laying",A
The Wildlife Photographer,2,"He had been tracking the elusive cat for days, relying on broken twigs and (2) prints.","mud","muddy","muddled","muds","muddiness",B
The Wildlife Photographer,3,"The savannah heat was intense, causing the air to shimmer and distort the (3) horizon.","distant","distance","distantly","distances","distanced",A
The Wildlife Photographer,4,"Mosquitoes buzzed around his ears, but he remained completely (4) to avoid detection.","motion","motionless","motioned","motioning","motions",B
The Wildlife Photographer,5,"Suddenly, a rustle in the bushes signalled the animal's (5).","approach","approached","approaching","approaches","approachable",A
The Wildlife Photographer,6,"The leopard stepped out, its spotted coat providing perfect (6) against the dappled light.","camouflage","camouflaged","camouflaging","camouflages","camo",A
The Wildlife Photographer,7,"It paused, sniffing the air, its golden eyes scanning the terrain for any (7).","threat","threaten","threatened","threatening","threats",A
The Wildlife Photographer,8,"The photographer held his breath and gently pressed the shutter, capturing the image in a split (8).","second","secondary","secondly","seconds","seconded",A
The Wildlife Photographer,9,"The click of the camera was tiny, yet the leopard's ears twitched in instant (9).","recognise","recognition","recognised","recognising","recognises",B
The Wildlife Photographer,10,"It turned its gaze directly towards him, staring with an intensity that made his blood (10).","freeze","froze","freezing","frozen","freezes",A
The Wildlife Photographer,11,"For a heartbeat, man and beast were locked in a silent, primal (11).","exchange","exchanged","exchanging","exchanges","exchanger",A
The Wildlife Photographer,12,"Then, with a dismissive flick of its tail, the cat vanished back into the (12).","wild","wildly","wilderness","wilder","wildest",C
The Mountain Monastery,1,"Perched on a jagged peak, the monastery was accessible only by a steep, winding (1).","path","paths","pathway","pathways","pathfinder",A
The Mountain Monastery,2,"Monks in saffron robes moved silently through the courtyards, their heads bowed in (2).","contemplate","contemplated","contemplating","contemplation","contemplates",D
The Mountain Monastery,3,"The air was thin and cold, but the view of the valley below was breathtakingly (3).","spectacle","spectacular","spectacles","spectator","spectate",B
The Mountain Monastery,4,"Every morning, a great bronze bell was struck, sending a deep note echoing across the (4).","mountain","mountains","mountaineer","mountainous","mount",B
The Mountain Monastery,5,"Life here was simple, devoid of the noise and (5) of the modern world.","distract","distracted","distracting","distraction","distractions",E
The Mountain Monastery,6,"They spent hours copying ancient texts, preserving knowledge that might otherwise be (6).","lose","lost","losing","loses","loser",B
The Mountain Monastery,7,"The library smelled of old parchment and the incense that burned (7) in the shrine.","constant","constantly","constancy","constants","constable",B
The Mountain Monastery,8,"Visitors were rare, as the climb was arduous and required great (8) stamina.","physics","physical","physically","physique","physician",B
The Mountain Monastery,9,"Those who did make the journey were greeted with tea and a warm (9).","welcome","welcomed","welcoming","welcomes","welcomer",A
The Mountain Monastery,10,"The Abbot, a wise old man, spoke in riddles that forced the listener to (10) deeply.","think","thought","thinking","thinks","thinker",A
The Mountain Monastery,11,"He believed that true happiness came not from possessions, but from inner (11).","peace","peaceful","peacefully","pacify","peacemaker",A
The Mountain Monastery,12,"Leaving the monastery, travellers often felt a sense of loss, as if waking from a beautiful (12).","dream","dreamt","dreaming","dreams","dreamer",A
The Volcanic Eruption,1,"The ground beneath the village had been trembling for weeks, a warning that the mountain was (1).","wake","woke","waking","wakes","waken",C
The Volcanic Eruption,2,"Scientists monitored the seismographs, watching the needles dance with increasing (2).","violent","violence","violently","violate","violins",B
The Volcanic Eruption,3,"""We must evacuate,"" declared the mayor, ""before the situation becomes (3).""","critic","critical","critically","critique","criticise",B
The Volcanic Eruption,4,"Sirens wailed, cutting through the morning air and prompting a chaotic (4).","exodus","exit","exited","exiting","exist",A
The Volcanic Eruption,5,"Families grabbed their most precious belongings and fled towards the (5) cars.","wait","waited","waiting","waits","waiter",C
The Volcanic Eruption,6,"Suddenly, the mountain blew its top, sending a plume of ash miles into the (6).","atmosphere","atmospheric","atom","sphere","atmospheres",A
The Volcanic Eruption,7,"Molten rock, glowing an angry red, began to cascade down the (7).","slopes","sloped","sloping","slope","sloper",A
The Volcanic Eruption,8,"The sky turned black as day was transformed into night by the choking (8) cloud.","ash","ashes","ashen","ashy","ashier",A
The Volcanic Eruption,9,"Lightning flashed within the plume, a terrifying display of nature's raw (9).","power","powered","powering","powers","powerful",A
The Volcanic Eruption,10,"Those looking back saw their homes being swallowed by the relentless (10) of lava.","tide","tidal","tided","tides","tied",A
The Volcanic Eruption,11,"It was a scene of devastation, yet strangely beautiful in its (11) power.","destruct","destroyed","destroying","destruction","destructive",E
The Volcanic Eruption,12,"Nature had reclaimed the land, reminding everyone of their (12) vulnerability.","fragile","fragility","fragment","fragilely","fragmented",A
The Piano Recital,1,"Sarah sat at the grand piano, her reflection visible in the polished, black (1).","wood","wooden","woods","wooded","would",A
The Piano Recital,2,"The concert hall was packed, and the silence was heavy with (2).","expect","expected","expecting","expectation","expectant",D
The Piano Recital,3,"She flexed her fingers, trying to shake off the nerves that made her hands (3).","tremble","trembled","trembling","trembles","tremor",A
The Piano Recital,4,"Taking a deep breath, she placed her hands on the ivory (4).","key","keys","keyed","keying","keystone",B
The Piano Recital,5,"The first note rang out, clear and bell-like, filling the vast (5).","space","spaced","spacing","spaces","spacious",A
The Piano Recital,6,"She played a complex sonata, her fingers dancing across the keyboard with fluid (6).","grace","graceful","gracefully","graced","gracing",A
The Piano Recital,7,"The music swelled and faded, conveying a range of emotions from sorrow to (7).","joy","joyful","joyfully","joys","enjoy",A
The Piano Recital,8,"She closed her eyes, losing herself in the melody, forgetting the audience (8) in the dark.","watch","watched","watching","watches","watcher",C
The Piano Recital,9,"For a moment, it was just her and the music, a perfect (9) of sound and soul.","union","unite","united","unity","unison",A
The Piano Recital,10,"As she played the final chord, she held her breath, letting the sound (10) away.","fade","faded","fading","fades","fader",A
The Piano Recital,11,"For a second there was silence, then the hall erupted in thunderous (11).","applaud","applause","applauded","applauding","plaudit",B
The Piano Recital,12,"She stood and bowed, her face flushed with the thrill of (12).","succeed","success","successful","successfully","succession",B
The Medieval Market,1,"The market square was a riot of sights and smells, crowded with stalls selling every conceivable (1).","good","goods","goodness","goodly","goody",B
The Medieval Market,2,"Merchants shouted their wares, competing to be heard over the (2) din.","general","generally","generality","generals","generalise",A
The Medieval Market,3,"A baker displayed loaves of crusty bread, the scent of yeast drifting on the (3).","breeze","breezes","breezy","breezed","breezing",A
The Medieval Market,4,"Beside him, a blacksmith hammered a horseshoe, the rhythmic clanging adding to the (4).","noise","noisy","noisily","noises","noiseless",A
The Medieval Market,5,"Peasants brought their livestock to sell, leading pigs and sheep through the (5) throng.","bustle","bustled","bustling","bustles","bustler",C
The Medieval Market,6,"A juggler entertained a crowd of children, tossing brightly coloured balls into the (6).","air","airy","aired","airing","heir",A
The Medieval Market,7,"Pickpockets moved stealthily through the crowd, looking for loose purses and (7) victims.","distract","distracted","distracting","distraction","distractions",B
The Medieval Market,8,"Rich merchants walked in velvet robes, ignoring the beggars who pleaded for (8).","charity","charitable","charitably","charities","chair",A
The Medieval Market,9,"The town crier rang his bell, reading a proclamation from the King in a booming (9).","voice","voiced","voicing","voices","vocal",A
The Medieval Market,10,"He announced that taxes were to be raised, news that was met with angry (10).","mutter","muttered","muttering","mutters","mutterings",C
The Medieval Market,11,"Despite the hardship, the market was the heart of the town, a place of community and (11).","trade","traded","trading","trades","trader",A
The Medieval Market,12,"As the sun set, the stalls were packed away, leaving the square (12) once more.","empty","emptied","emptying","empties","emptiness",A
The Astronaut's Walk,1,"Stepping out of the airlock, Major Tom was immediately struck by the absolute (1) of space.","silent","silence","silently","silencer","silenced",B
The Astronaut's Walk,2,"Below him, the Earth turned slowly, a breathtaking sphere of blue and white (2) against the black.","hang","hung","hanging","hangs","hanger",C
The Astronaut's Walk,3,"His tether, a thin lifeline of gold, floated (3) beside him as he drifted.","lazy","laziness","lazily","laze","lazier",C
The Astronaut's Walk,4,"He gripped the handrails of the station, pulling himself forward to inspect the damaged (4).","panel","panels","panelled","panelling","pan",A
The Astronaut's Walk,5,"His gloves were thick and clumsy, making the delicate repair work frustratingly (5).","slow","slowness","slowly","slowing","slower",A
The Astronaut's Walk,6,"The sun rose over the rim of the Earth, a blinding flare that forced him to lower his (6).","visor","visors","vision","visible","advice",A
The Astronaut's Walk,7,"He could hear his own breathing and the hum of the radio, the only sounds in his small (7).","world","worlds","worldly","whirl","word",A
The Astronaut's Walk,8,"""Mission Control to Major Tom,"" crackled the voice in his ear, ""status report, (8).""","please","pleased","pleasing","pleases","pleasure",A
The Astronaut's Walk,9,"""Repair complete,"" he replied, his voice calm despite the adrenaline (9) through his veins.","course","coursed","coursing","courses","courser",C
The Astronaut's Walk,10,"He took a moment to look at the stars, which burned with a steady, unblinking (10).","light","lit","lighting","lights","lighter",A
The Astronaut's Walk,11,"It was a view that few humans had ever seen, a privilege that filled him with (11).","awe","awed","awing","awful","awesome",A
The Astronaut's Walk,12,"Reluctantly, he pulled himself back to the airlock, leaving the infinite (12) behind.","void","voided","voiding","voids","avoid",A
The Detective's Clue,1,"Inspector Morse knelt beside the safe, examining the scratches on the metal with a magnifying (1).","glass","glasses","glassy","glaze","glazer",A
The Detective's Clue,2,"The room had been ransacked, with papers scattered across the floor like fallen (2).","leaf","leaves","leaved","leaving","leafy",B
The Detective's Clue,3,"""The thief knew exactly what he was looking for,"" Morse muttered, his brow furrowed in (3).","think","thought","thinking","thinks","thinker",B
The Detective's Clue,4,"He noticed a faint smudge of blue clay on the carpet, a substance (4) to this area.","foreign","foreigner","foreignly","forage","forest",A
The Detective's Clue,5,"""This clay,"" he explained to his sergeant, ""is found only in the riverbed on the north (5).""","side","sided","siding","sides","sidle",A
The Detective's Clue,6,"This vital clue narrowed the list of suspects down to those who lived near the (6).","water","watered","watering","waters","watery",A
The Detective's Clue,7,"They drove to the riverside cottages, the police car's siren silent to avoid (7).","detect","detected","detecting","detection","detective",D
The Detective's Clue,8,"At the third house, they found a pair of muddy boots drying on the (8).","porch","porches","poach","perch","parched",A
The Detective's Clue,9,"Morse knocked on the door, which was opened by a man looking visibly (9).","nerve","nervous","nervously","nervousness","nerves",B
The Detective's Clue,10,"""We'd like to ask you some questions,"" Morse said, stepping inside without waiting for an (10).","invite","invited","inviting","invitation","invites",D
The Detective's Clue,11,"On the table lay the missing documents, carelessly covered by a (11).","newspaper","newspapers","news","paper","new",A
The Detective's Clue,12,"It was a sloppy mistake, proving that even the cleverest criminals eventually (12) up.","slip","slipped","slipping","slips","slipper",A
The Shipwreck,1,"The storm had raged for three days, tossing the small vessel like a cork on the (1) ocean.","angry","anger","angrily","angers","angered",A
The Shipwreck,2,"When the mast snapped, the captain knew that their hope of survival was rapidly (2).","fade","faded","fading","fades","fader",C
The Shipwreck,3,"They hit the reef with a sickening crunch, the sound of timber splintering under the (3).","impact","impacted","impacting","impacts","impacter",A
The Shipwreck,4,"Water flooded the hold, forcing the crew to abandon ship and jump into the freezing (4).","sea","seas","season","seat","see",A
The Shipwreck,5,"Jack swam towards the island, his arms burning with exertion as he fought the (5).","current","currently","currency","currents","currant",A
The Shipwreck,6,"He washed ashore on a sandy beach, collapsing in a heap of exhausted (6).","relieve","relieved","relief","relieving","relieves",C
The Shipwreck,7,"When he awoke, the sun was beating down, and the storm was nothing but a bad (7).","memory","memorable","memorise","memorial","memorably",A
The Shipwreck,8,"He gathered driftwood to build a signal fire, hoping to attract the attention of a passing (8).","ship","ships","shipped","shipping","shipper",A
The Shipwreck,9,"Thirst was his immediate enemy, so he searched for a stream of fresh (9).","water","watered","watering","waters","watery",A
The Shipwreck,10,"He found coconuts and cracked them open, drinking the sweet milk with gratitude (10).","imagine","imagined","imagining","imagination","unimaginable",E
The Shipwreck,11,"Days turned into weeks, and Jack learned to live off the land, becoming a true (11).","survive","survivor","survived","survival","surviving",B
The Shipwreck,12,"Although he was lonely, he found a strange peace in his isolation from the (12) world.","modern","modernise","modernity","modernly","mode",A
The Safari,1,"The jeep bumped along the dirt track, kicking up a cloud of red dust that coated their (1).","clothe","clothes","clothed","clothing","cloth",B
The Safari,2,"The guide stopped the engine and pointed to a herd of elephants gathering at the water (2).","hole","holes","holed","holing","whole",A
The Safari,3,"The matriarch, a giant female with tattered ears, watched the vehicle with (3) eyes.","wary","wariness","warily","ware","weary",A
The Safari,4,"A baby elephant, no bigger than a pony, splashed playfully in the (4).","mud","muddy","muddled","muds","muddiness",A
The Safari,5,"""Keep your voices down,"" whispered the guide, ""we don't want to (5) them.""","startle","startled","startling","startles","start",A
The Safari,6,"Suddenly, a lion roar echoed across the plains, causing the herd to bunch together in (6).","defend","defence","defended","defending","defender",B
The Safari,7,"The elephants formed a protective circle around the young, their tusks facing (7).","out","outer","outing","outs","outward",E
The Safari,8,"It was a display of family loyalty that left the tourists watching in silent (8).","awe","awed","awing","awful","awesome",A
The Safari,9,"The lions, realizing they were outmatched, slunk away into the tall (9).","grass","grassy","grassed","grasses","graze",A
The Safari,10,"The tension broke, and the elephants returned to their drinking, the danger (10).","pass","passed","past","passing","passes",B
The Safari,11,"As the sun set, turning the sky a brilliant orange, the group returned to the (11).","lodge","lodged","lodging","lodges","lodger",A
The Safari,12,"It had been an unforgettable day, a glimpse into the raw beauty of (12).","nature","natural","naturally","naturist","native",A
The Skyscraper Window Cleaner,1,"Suspended two hundred metres above the city, the cradle swayed gently in the (1).","breeze","breezes","breezy","breezed","breezing",A
The Skyscraper Window Cleaner,2,"Dave clipped his safety harness onto the rail, checking the carabiner twice out of (2).","habit","habits","habitual","habitually","inhabit",A
The Skyscraper Window Cleaner,3,"Below him, the cars looked like toys and the people were mere ants scuttling on the (3).","pavement","pavements","paved","paving","pave",A
The Skyscraper Window Cleaner,4,"He dipped his squeegee into the soapy water and slapped it onto the glass with a wet (4).","thud","thudded","thudding","thuds","thudder",A
The Skyscraper Window Cleaner,5,"With a practised wrist movement, he wiped the pane clean, leaving it sparkling in the (5).","sun","sunny","sunned","sunning","sunlight",E
The Skyscraper Window Cleaner,6,"Birds flew past him, surprised to see a human invading their aerial (6).","territory","territorial","territories","terrain","terrier",A
The Skyscraper Window Cleaner,7,"It was a lonely job, but Dave enjoyed the peace and the unparalleled (7).","view","views","viewed","viewing","viewer",A
The Skyscraper Window Cleaner,8,"Inside the offices, he saw people in meetings, oblivious to the man hanging (8).","out","outside","outer","outing","outs",B
The Skyscraper Window Cleaner,9,"Suddenly, a gust of wind caught the cradle, slamming it against the building with a terrifying (9).","bang","banged","banging","bangs","banger",A
The Skyscraper Window Cleaner,10,"Dave grabbed the rail, his knuckles white, waiting for the swinging to (10).","stop","stopped","stopping","stops","stopper",A
The Skyscraper Window Cleaner,11,"When it steadied, he let out a long breath, his heart beating a frantic (11).","rhythm","rhythmic","rhythms","rhyme","rhythmically",A
The Skyscraper Window Cleaner,12,"He finished the floor quickly, eager to get back to the safety of solid (12).","ground","grounded","grounding","grounds","grind",A
The Ancient Library,1,"The library was hidden beneath the desert sands, a repository of knowledge lost for (1).","millennia","millennium","million","mile","mill",A
The Ancient Library,2,"The explorers used torches to light the gloom, revealing shelves stacked with crumbling (2).","scroll","scrolls","scrolled","scrolling","scrawl",B
The Ancient Library,3,"The air was dry and smelled of dust, preserving the paper in a fragile (3).","state","stated","stating","states","statue",A
The Ancient Library,4,"Professor Jones picked up a scroll, his hands trembling with the magnitude of the (4).","find","found","finding","finds","finder",A
The Ancient Library,5,"""This is the lost history of Atlantis,"" he whispered, his voice echoing in the (5).","silent","silence","silently","silencer","silenced",B
The Ancient Library,6,"He began to translate the text, reading aloud stories of a city swallowed by the (6).","sea","seas","season","seat","see",A
The Ancient Library,7,"The others listened, captivated by the tale of a civilization destroyed by its own (7).","hubris","humble","human","huge","hub",A
The Ancient Library,8,"Suddenly, a rumble shook the ground, and dust began to fall from the (8).","ceiling","ceilings","ceiled","ceilinged","ceil",A
The Ancient Library,9,"""The structure is unstable,"" shouted Jones, ""we must leave (9)!""","immediate","immediately","mediocre","medium","immediacy",B
The Ancient Library,10,"They grabbed what scrolls they could carry and ran towards the (10).","exit","exited","exiting","exits","exist",A
The Ancient Library,11,"Behind them, the roof collapsed, burying the library once more in the (11).","dark","darkness","darken","darkly","darked",B
The Ancient Library,12,"They had saved only a fraction, but it was enough to change history (12).","forever","ever","never","every","for",A
The Beehive,1,"Inside the hive, thousands of bees worked with a singular, buzzing (1).","purpose","purposed","purposing","purposes","purposely",A
The Beehive,2,"The worker bees flew out to collect nectar, navigating by the position of the (2).","sun","sunny","sunned","sunning","sunlight",A
The Beehive,3,"They returned heavy with pollen, performing a waggle dance to tell others where the flowers (3).","were","was","is","are","be",A
The Beehive,4,"In the centre sat the Queen, the mother of the colony, laying eggs in the wax (4).","cell","cells","celled","celling","cellular",B
The Beehive,5,"Guard bees stood at the entrance, ready to sting any intruder who dared to (5).","enter","entered","entering","entry","entrance",A
