Spelling_1690,I am,completely,done,now.,N,No error.,,,4,22,10
Spelling_170,She collects minature,dolls for her,dolls house at,home.,A,Error: 'minature' should be 'miniature' (nia).,,,5,53,21
Spelling_1700,It is,continious,rain,now.,B,Error: 'continious' should be 'continuous' (nuo).,,,4,23,10
Spelling_1703,I will,corespond,with,you.,B,Error: 'corespond' should be 'correspond' (rr).,,,4,23,9
Spelling_171,The puppy is,very mischevious and,chews everything in,sight.,B,Error: 'mischevious' should be 'mischievous' (vous).,,,6,57,20
Spelling_1713,I will,decide,soon,now.,N,No error.,,,4,20,6
Spelling_172,There is a,box of misellaneous,items in the,garage.,B,Error: 'misellaneous' should be 'miscellaneous' (sc).,,,7,48,19
Spelling_173,My leg muscle,aches after running,so far yesterday,morning.,N,No error.,,,8,56,19
Spelling_174,It was a,misterious sound that,came from the,attic.,B,Error: 'misterious' should be 'mysterious' (mys).,,,6,48,21
Spelling_1742,I have,eight,pens,now.,N,No error.,,,4,19,6
Spelling_1743,I have,eighty,coins,now.,N,No error.,,,4,21,6
Spelling_175,It is neccessary,to drink water,every single day,regularly.,B,Error: 'neccessary' should be 'necessary' (cess).,,,10,56,16
Spelling_1750,I like,entertinment,shows,now.,B,Error: 'entertinment' should be 'entertainment' (tain).,,,4,27,12
Spelling_1758,Do your,excercise,now,too.,B,Error: 'excercise' should be 'exercise' (exe).,,,3,23,9
Spelling_176,My next door,neigbour is very,friendly and helpful,always.,B,Error: 'neigbour' should be 'neighbour' (ghb).,,,7,55,20
Spelling_1768,It is,extream,cold,now.,B,Error: 'extream' should be 'extreme' (eme).,,,4,20,7
Spelling_177,My sister's daughter,is my neice,and she is,five.,B,Error: 'neice' should be 'niece' (ie).,,,5,46,20
Spelling_178,There are ninty,pages in this,book to read,tonight.,A,Error: 'ninty' should be 'ninety' (nety).,,,8,48,15
Spelling_180,The fly was,a nuesance buzzing,around the food,plate.,B,Error: 'nuesance' should be 'nuisance' (uis).,,,6,50,18
Spelling_1800,Check your,identity,now,too.,N,No error.,,,3,25,10
Spelling_181,The dog was,obedient and sat,when he was,told.,N,No error.,,,5,43,16
Spelling_1814,I have,liesure,time,too.,B,Error: 'liesure' should be 'leisure' (ei).,,,4,21,7
Spelling_182,On this occassion,we will allow,you to leave,early.,B,Error: 'occassion' should be 'occasion' (cas).,,,6,48,17
Spelling_1829,It is,misellaneous,now,too.,B,Error: 'misellaneous' should be 'miscellaneous' (sc).,,,3,24,12
Spelling_183,The accident occured,on the motorway,late last night,driving.,B,Error: 'occured' should be 'occurred' (rr).,,,8,58,20
Spelling_184,The oppisite of,hot is cold,as everyone knows,well.,A,Error: 'oppisite' should be 'opposite' (osi).,,,5,48,17
Spelling_185,This is an,origional painting by,a famous artist,here.,B,Error: 'origional' should be 'original' (gin).,,,5,51,21
Spelling_186,Draw a paralel,line next to,the first one,carefully.,B,Error: 'paralel' should be 'parallel' (lle).,,,10,49,14
Spelling_1863,It is,my posession,now,so.,B,Error: 'posession' should be 'possession' (ssess).,,,3,23,12
Spelling_187,The members of,parlament voted on,the new law,today.,B,Error: 'parlament' should be 'parliament' (rli).,,,6,49,18
Spelling_1877,He spoke,publically,now,too.,B,Error: 'publically' should be 'publicly' (lic).,,,3,25,10
Spelling_188,Not a single,partical of dust,was left on,shelf.,B,Error: 'partical' should be 'particle' (cle).,,,6,45,16
Spelling_189,Is there any,particuler reason why,you are late,today?,B,Error: 'particuler' should be 'particular' (lar).,,,6,51,21
Spelling_190,The cricket pavillion,needs painting before,the season starts,soon.,B,Error: 'pavillion' should be 'pavilion' (vil).,,,5,64,21
Spelling_1901,The comittee,decided to,postpone the,meeting.,A,"Error: 'comittee' should be 'committee' (double m, double t, double e).",,,8,42,12
Spelling_1902,It is,neccessary to,complete the,form now.,B,"Error: 'neccessary' should be 'necessary' (one c, double s).",,,5,39,13
Spelling_1903,We must,seperate the,recyclable items,carefully.,B,Error: 'seperate' should be 'separate' (par).,,,7,45,16
Spelling_1904,There was,a definate,improvement in,his work.,B,Error: 'definate' should be 'definite' (nite).,,,9,42,14
Spelling_1905,Please do,not embarass,your sister,in public.,B,"Error: 'embarass' should be 'embarrass' (double r, double s).",,,9,42,12
Spelling_1906,The rhythm,of the,drumming was,very fast.,N,No error.,,,6,38,12
Spelling_1907,He hoped,to aquire,new skills,at college.,B,Error: 'aquire' should be 'acquire' (cq).,,,8,38,11
Spelling_1908,His concience,would not,let him,lie.,A,Error: 'concience' should be 'conscience' (sci).,,,4,33,13
Spelling_1909,The car,required some,urgent,maintainance.,D,Error: 'maintainance' should be 'maintenance' (ten).,,,6,39,13
Spelling_191,You must be,persistant if you,want to succeed,here.,B,Error: 'persistant' should be 'persistent' (ent).,,,5,48,17
Spelling_1910,It was,a great,priviledge to,meet him.,C,Error: 'priviledge' should be 'privilege' (no d).,,,6,35,13
Spelling_1911,They had,a feirce,argument about,the rules.,B,Error: 'feirce' should be 'fierce' (ie).,,,8,40,14
Spelling_1912,The dog,was desparate,for a,drink.,B,Error: 'desparate' should be 'desperate' (per).,,,5,31,13
Spelling_1913,The library,is a,quiet place,to study.,N,No error.,,,4,35,11
Spelling_1914,The goverment,introduced a,new tax,law.,A,Error: 'goverment' should be 'government' (nm).,,,4,36,13
Spelling_1915,We walked,accross the,bridge to,the park.,B,Error: 'accross' should be 'across' (one c).,,,9,38,11
Spelling_1916,The lightening,struck the,tall oak,tree.,A,Error: 'lightening' should be 'lightning' (ning).,,,5,37,14
Spelling_1917,I am,truely sorry,for my,mistake.,B,Error: 'truely' should be 'truly' (no e).,,,4,30,12
Spelling_1918,The view,was beatiful,from the,mountain.,B,Error: 'beatiful' should be 'beautiful' (eau).,,,8,37,12
Spelling_1919,He received,a parcel,from his,uncle.,N,No error.,,,6,33,11
Spelling_192,All personnel must,wear a badge,while in the,building.,N,No error (Personnel = staff).,,,9,51,18
Spelling_1920,The calander,on the,wall is,old.,A,Error: 'calander' should be 'calendar' (dar).,,,4,29,12
Spelling_1921,Wait untill,the rain,stops,falling.,B,Error: 'untill' should be 'until' (one l).,,,5,32,11
Spelling_1922,The doctor,prescribed,some,medecine.,D,Error: 'medecine' should be 'medicine' (dic).,,,4,33,10
Spelling_1923,I belieive,that he,is telling,the truth.,A,Error: 'belieive' should be 'believe' (ie).,,,7,37,10
Spelling_1924,The ballon,floated high,into the,sky.,A,Error: 'ballon' should be 'balloon' (double l).,,,4,34,12
Spelling_1925,It is,imporant to,listen to,instructions.,B,Error: 'imporant' should be 'important' (tan).,,,5,38,13
Spelling_1926,The enviroment,needs to,be,protected.,A,Error: 'enviroment' should be 'environment' (nm).,,,2,34,14
Spelling_1927,She was,suprised by,the sudden,noise.,B,Error: 'suprised' should be 'surprised' (sur).,,,6,34,11
Spelling_1928,The flowers,bloom in,the,spring.,N,No error.,,,3,29,11
Spelling_1929,Tommorow,we will,go to,the beach.,A,Error: 'Tommorow' should be 'Tomorrow' (double r).,,,5,30,10
Spelling_193,I tried to,persuade him to,come with us,later.,N,No error.,,,6,43,15
Spelling_1930,Science is,my favourite,subject,at school.,N,No error.,,,7,39,12
Spelling_1931,The soldier,wore a,uniform of,green.,N,No error.,,,6,33,11
Spelling_1932,Please,discibe,what you,saw there.,B,Error: 'discibe' should be 'describe' (des).,,,6,31,10
Spelling_1933,The sun,disapeared,behind the,clouds.,B,Error: 'disapeared' should be 'disappeared' (double p).,,,7,34,10
Spelling_1934,It is,intresting,to learn,history.,B,Error: 'intresting' should be 'interesting' (eres).,,,5,31,10
Spelling_1935,The vegtable,soup was,very,tasty.,A,Error: 'vegtable' should be 'vegetable' (get).,,,4,30,12
Spelling_1936,I hurt,my sholder,playing,rugby.,B,Error: 'sholder' should be 'shoulder' (oul).,,,6,29,10
Spelling_1937,The tempreture,dropped,below,freezing.,A,Error: 'tempreture' should be 'temperature' (era).,,,5,35,14
Spelling_1938,We watched,a foriegn,film last,night.,B,Error: 'foriegn' should be 'foreign' (ei).,,,6,34,10
Spelling_1939,The cat,chased a,pidgeon in,the garden.,C,Error: 'pidgeon' should be 'pigeon' (no d).,,,7,36,11
Spelling_194,Digging the garden,is hard physicle,work for me,now.,B,Error: 'physicle' should be 'physical' (cal).,,,4,49,18
Spelling_1940,The scissors,were very,sharp,indeed.,N,No error.,,,5,33,12
Spelling_1941,The jewellry,was kept,in a,safe.,A,Error: 'jewellry' should be 'jewellery' (ller).,,,4,29,12
Spelling_1942,I accidentally,broke the,blue,vase.,N,No error.,,,4,32,14
Spelling_1943,The busines,was doing,very,well.,A,Error: 'busines' should be 'business' (double s).,,,4,29,11
Spelling_1944,We saw,a misterious,figure in,the fog.,B,Error: 'misterious' should be 'mysterious' (mys).,,,6,35,12
Spelling_1945,The height,of the,tower is,huge.,N,No error.,,,5,29,10
Spelling_1946,He tryed,to lift,the heavy,box.,A,Error: 'tryed' should be 'tried' (ied).,,,4,28,9
Spelling_1947,The village,comittee,met on,Monday.,B,Error: 'comittee' should be 'committee' (double m).,,,6,32,11
Spelling_1948,She was,disapointed,with her,score.,B,Error: 'disapointed' should be 'disappointed' (double p).,,,6,32,11
Spelling_1949,The professor,gave a,long,lecture.,N,No error.,,,4,31,13
Spelling_195,Would you like,a peice of,cake with your,tea?,B,Error: 'peice' should be 'piece' (ie).,,,4,42,14
Spelling_1950,Occasionly,we go,to the,cinema.,A,Error: 'Occasionly' should be 'Occasionally' (ally).,,,5,28,10
Spelling_1951,The restarant,served,italian,food.,A,Error: 'restarant' should be 'restaurant' (tau).,,,5,31,13
Spelling_1952,I need,a reciept,for this,item.,B,Error: 'reciept' should be 'receipt' (ei).,,,5,28,9
Spelling_1953,The bicycle,tyre had,a slow,puncture.,N,No error.,,,6,34,11
Spelling_1954,He was,succesful,in his,exam.,B,Error: 'succesful' should be 'successful' (double s).,,,5,26,9
Spelling_1955,The gaurd,stood by,the main,gate.,A,Error: 'gaurd' should be 'guard' (ua).,,,5,30,9
Spelling_1956,We have,a liesure,centre,nearby.,B,Error: 'liesure' should be 'leisure' (ei).,,,6,29,9
Spelling_1957,The queue,was very,long,today.,N,No error.,,,4,27,9
Spelling_1958,It was,begining,to rain,heavily.,B,Error: 'begining' should be 'beginning' (double n).,,,6,29,8
Spelling_1959,The parlament,debated,the new,law.,A,Error: 'parlament' should be 'parliament' (ia).,,,4,31,13
Spelling_196,The local poltician,gave a speech,in the town,hall.,A,Error: 'poltician' should be 'politician' (oli).,,,5,48,19
Spelling_1960,I am,sincerly,grateful,to you.,B,Error: 'sincerly' should be 'sincerely' (ely).,,,4,27,8
Spelling_1961,The referee,blew his,whistle,loudly.,N,No error.,,,7,33,11
Spelling_1962,It was,a bizzare,event,to see.,B,"Error: 'bizzare' should be 'bizarre' (one z, double r).",,,5,27,9
Spelling_1963,The cemetery,was old,and,spooky.,N,No error.,,,3,29,12
Spelling_1964,He did,not posess,the right,skills.,B,Error: 'posess' should be 'possess' (double s).,,,6,32,10
Spelling_1965,The vacume,cleaner,was very,noisy.,A,Error: 'vacume' should be 'vacuum' (uu).,,,6,31,10
Spelling_1966,I prefer,vanilla,yogurt,to strawberry.,N,No error.,,,6,35,14
Spelling_1967,The twelth,man was,ready to,play.,A,Error: 'twelth' should be 'twelfth' (fth).,,,5,30,10
Spelling_1968,We saw,a beatle,crawling,on a leaf.,B,Error: 'beatle' should be 'beetle' (ee).,,,6,32,10
Spelling_1969,The witch,cast a,spell on,him.,N,No error.,,,4,27,9
Spelling_197,The ball is,now in my,posession so I,win.,C,Error: 'posession' should be 'possession' (ssess).,,,4,38,14
Spelling_1970,The medow,was full,of wild,flowers.,A,Error: 'medow' should be 'meadow' (ea).,,,7,32,9
Spelling_1971,He wrote,a humerous,story,for us.,B,Error: 'humerous' should be 'humorous' (or).,,,5,30,10
Spelling_1972,The plurals,of some,nouns are,tricky.,N,No error.,,,7,34,11
Spelling_1973,The driver,drove the,veichle,well.,C,Error: 'veichle' should be 'vehicle' (hi).,,,5,31,10
Spelling_1974,I am,confidant,that I,passed.,B,Error: 'confidant' (noun) should be 'confident' (adj).,,,4,26,9
Spelling_1975,The autum,leaves,were,falling.,A,Error: 'autum' should be 'autumn' (mn).,,,4,27,9
Spelling_1976,It was,a wierd,sound to,hear.,B,Error: 'wierd' should be 'weird' (ei).,,,5,26,8
Spelling_1977,The cieling,needed to,be painted,white.,A,Error: 'cieling' should be 'ceiling' (ei).,,,6,36,11
Spelling_1978,I accept,your kind,offer of,help.,N,No error.,,,5,30,9
Spelling_1979,The artic,is a,very cold,place.,A,Error: 'artic' should be 'arctic' (rct).,,,4,28,9
Spelling_198,Is it posible,to finish the,work by five,o'clock?,B,Error: 'posible' should be 'possible' (ss).,,,8,46,13
Spelling_1980,We need,some new,equiptment,soon.,C,Error: 'equiptment' should be 'equipment' (ment).,,,5,30,10
Spelling_1981,The monkey,is a,mischevious,animal.,C,Error: 'mischevious' should be 'mischievous' (iev).,,,4,32,11
Spelling_1982,The minature,poodle,was very,cute.,A,Error: 'minature' should be 'miniature' (nia).,,,5,31,12
Spelling_1983,She has,a lot of,patience,with kids.,N,No error.,,,7,33,10
Spelling_1984,The public,libary is,closed,today.,B,Error: 'libary' should be 'library' (bra).,,,6,31,10
Spelling_1985,We had,a deliscious,meal last,night.,B,Error: 'deliscious' should be 'delicious' (lici).,,,6,33,12
Spelling_1986,The army,sergent,shouted,orders.,B,Error: 'sergent' should be 'sergeant' (gea).,,,7,29,8
Spelling_1987,It was,a tragedy,that he,lost.,N,No error.,,,5,27,9
Spelling_1988,The yatch,sailed,across the,bay.,A,Error: 'yatch' should be 'yacht' (cht).,,,4,29,10
Spelling_1989,I am,grateful,for your,help.,N,No error.,,,4,25,8
Spelling_199,We ate baked,potatos with cheese,for dinner last,night.,B,Error: 'potatos' should be 'potatoes' (oes).,,,6,52,19
Spelling_1990,The ninty,students,went on,a trip.,A,Error: 'ninty' should be 'ninety' (ne).,,,7,31,9
Spelling_1991,The secretary,typed,the letter,fast.,N,No error.,,,5,33,13
Spelling_1992,The ryhme,was easy,to,remember.,A,Error: 'ryhme' should be 'rhyme' (rhy).,,,2,28,9
Spelling_1993,I promise,to be,obedient,always.,N,No error.,,,5,29,9
Spelling_1994,The unneccessary,noise was,annoying,us.,A,Error: 'unneccessary' should be 'unnecessary' (one c).,,,3,36,16
Spelling_1995,The broccoli,was cooked,perfectly,today.,N,No error.,,,6,37,12
Spelling_1996,We saw,a phisical,change in,him.,B,Error: 'phisical' should be 'physical' (phy).,,,4,29,10
Spelling_1997,The tomatos,were red,and,ripe.,A,Error: 'tomatos' should be 'tomatoes' (oes).,,,3,27,11
Spelling_1998,It is,not posible,to go,there.,B,Error: 'posible' should be 'possible' (double s).,,,5,27,11
Spelling_1999,The amateur,actor was,very,good.,N,No error.,,,4,29,11
Spelling_200,I prefered the,blue shirt to,the red one,yesterday.,A,Error: 'prefered' should be 'preferred' (rr).,,,10,48,14
Spelling_2000,The garantee,lasts for,one,year.,A,Error: 'garantee' should be 'guarantee' (gua).,,,3,29,12
Spelling_2001,It is,essential,to be,polite.,N,No error.,,,5,26,9
Spelling_2002,The absence,of rain,is a,worry.,N,No error.,,,4,28,11
Spelling_2004,Is the,room,accesible,to all?,C,Error: 'accesible' should be 'accessible' (ssib).,,,4,26,9
Spelling_2005,I accidently,dropped,the,plate.,A,Error: 'accidently' should be 'accidentally' (ally).,,,3,28,12
Spelling_2006,We can,accommodate,your,friends.,N,No error.,,,4,29,11
Spelling_2007,I will,accompany,you,there.,N,No error.,,,3,24,9
Spelling_2009,I hope,to acheive,good,grades.,B,Error: 'acheive' should be 'achieve' (ie).,,,4,27,10
Spelling_201,The preperation for,the party took,all day long,yesterday.,A,Error: 'preperation' should be 'preparation' (par).,,,10,55,19
Spelling_2010,We walked,accross,the,field.,B,Error: 'accross' should be 'across' (one c).,,,3,25,9
Spelling_2011,What is,your,adress,please?,C,Error: 'adress' should be 'address' (double d).,,,4,24,7
Spelling_2012,He was,agressive,towards,us.,B,Error: 'agressive' should be 'aggressive' (double g).,,,3,25,9
Spelling_2013,He is,an amature,player,now.,B,Error: 'amature' should be 'amateur' (eur).,,,4,25,10
Spelling_2014,The ancient,ruins,are,safe.,N,No error.,,,3,24,11
Spelling_2015,It is,apparant,he is,sad.,B,Error: 'apparant' should be 'apparent' (ent).,,,4,22,8
Spelling_2016,His apperance,was,very,neat.,A,Error: 'apperance' should be 'appearance' (ear).,,,3,25,13
Spelling_2017,I will,apply,for the,job.,N,No error.,,,4,22,7
Spelling_2018,The arguement,was,very,loud.,A,Error: 'arguement' should be 'argument' (no e).,,,3,25,13
Spelling_2019,The athalete,ran,very,fast.,A,Error: 'athalete' should be 'athlete' (thl).,,,3,24,12
Spelling_202,It is a,priviledge to meet,such a famous,person.,B,Error: 'priviledge' should be 'privilege' (lege).,,,7,45,18
Spelling_2020,Basicly,I am,ready,to go.,A,Error: 'Basicly' should be 'Basically' (ally).,,,4,22,7
Spelling_2021,At the,begining,it was,fun.,B,Error: 'begining' should be 'beginning' (double n).,,,4,24,8
Spelling_2023,Eat a,biscut,with,tea.,A,Error: 'biscut' should be 'biscuit' (cuit).,,,4,19,6
Spelling_203,Teaching is a,rewarding proffesion for,those who like,children.,B,Error: 'proffesion' should be 'profession' (fess).,,,9,60,24
Spelling_2036,He is,coming,home,soon.,N,No error.,,,4,20,6
Spelling_2038,He is,completly,tired,out.,B,Error: 'completly' should be 'completely' (ely).,,,4,23,9
Spelling_204,The university professer,taught us about,history and art,today.,B,Error: 'professer' should be 'professor' (sor).,,,6,60,24
Spelling_2041,The council,met,today,here.,N,No error.,,,3,24,11
Spelling_2044,It is,definate,that,he won.,B,Error: 'definate' should be 'definite' (ini).,,,4,24,8
Spelling_2046,We must,develope,another,plan.,B,Error: 'develope' should be 'develop' (op).,,,5,27,8
Spelling_2048,He will,disapear,soon,now.,B,Error: 'disapear' should be 'disappear' (pp).,,,4,23,8
Spelling_205,His pronounciation of,the word was,very clear and,loud.,A,Error: 'pronounciation' should be 'pronunciation' (nun).,,,5,52,21
Spelling_2050,It was,disasterous,news,today.,B,Error: 'disasterous' should be 'disastrous' (trous).,,,4,27,11
Spelling_2053,Don't,embarass,your,family.,B,Error: 'embarass' should be 'embarrass' (rr).,,,4,24,8
Spelling_2056,Do not,exagerate,the,facts.,B,Error: 'exagerate' should be 'exaggerate' (gg).,,,3,24,9
Spelling_2058,It is,excelent,work,done.,B,Error: 'excelent' should be 'excellent' (ll).,,,4,22,8
Spelling_2059,His existance,is sometimes,argued as,fact.,A,Error: 'existance' should be 'existence' (ence).,,,5,39,13
Spelling_206,The news was,full of propoganda,during the long,war.,B,Error: 'propoganda' should be 'propaganda' (pag).,,,4,49,18
Spelling_207,He apologised publically,for his mistake,in the news,paper.,B,Error: 'publically' should be 'publicly' (lic).,,,6,56,24
Spelling_2073,We need,futher,help,now.,B,Error: 'futher' should be 'further' (fur).,,,4,21,7
Spelling_2077,The goverment,met,today,here.,A,Error: 'goverment' should be 'government' (nm).,,,3,26,13
Spelling_208,There was a,long queue at,the bus stop,today.,N,No error.,,,6,42,13
Spelling_2086,The incedint,was,very,bad.,A,Error: 'incedint' should be 'incident' (ci).,,,3,23,12
Spelling_2087,She is,independant,now,too.,B,Error: 'independant' should be 'independent' (ent).,,,3,24,11
Spelling_209,It was quite,late when we,finally got home,yesterday.,N,No error.,,,10,50,16
Spelling_2095,I have,liesure,time,now.,B,Error: 'liesure' should be 'leisure' (ei).,,,4,21,7
Spelling_210,I am realy,sorry for breaking,your favourite toy,car.,B,Error: 'realy' should be 'really' (ll).,,,4,50,18
Spelling_2100,I made,a lovely,cake,today.,N,No error.,,,4,24,8
Spelling_2103,Take your,medicine,now,please.,N,No error.,,,3,27,9
Spelling_2105,He is,mischevious,and,bad.,B,Error: 'mischevious' should be 'mischievous' (vous).,,,3,23,11
Spelling_2106,It is,misellaneous,stuff,here.,B,Error: 'misellaneous' should be 'miscellaneous' (sc).,,,5,27,12
Spelling_2108,My muscle,aches,an awful,lot.,N,No error.,,,4,26,9
Spelling_211,Did you recieve,the letter I,sent you last,week?,B,Error: 'recieve' should be 'receive' (ei).,,,5,45,15
Spelling_212,I recomend that,you read this,book because it,is good.,A,Error: 'recomend' should be 'recommend' (mm).,,,8,51,15
Spelling_2127,The parlament,sat,down,then.,A,Error: 'parlament' should be 'parliament' (rli).,,,3,25,13
Spelling_213,He refered to,his notes while,giving the long,speech.,A,Error: 'refered' should be 'referred' (rr).,,,7,50,15
Spelling_214,Is this book,relevent to the,subject we are,studying?,B,Error: 'relevent' should be 'relevant' (vant).,,,9,50,15
Spelling_2140,It is,my posession,now,so.,B,Error: 'posession' should be 'possession' (ssess).,,,3,23,12
Spelling_215,He is a,very religous man,who goes to,church.,B,Error: 'religous' should be 'religious' (gious).,,,7,42,17
Spelling_2154,He spoke,publically,now,too.,B,Error: 'publically' should be 'publicly' (lic).,,,3,25,10
Spelling_216,Please rember to,lock the door,when you go,out.,B,Error: 'rember' should be 'remember' (mem).,,,4,44,16
Spelling_217,The wire has,high resistence to,electricity flowing ,through it.,B,Error: 'resistence' should be 'resistance' (tan).,,,11,61,20
Spelling_218,We ate at,a nice resturant,in the city,centre.,B,Error: 'resturant' should be 'restaurant' (tau).,,,7,43,16
Spelling_219,The poem has,a simple ryhme,at the end,of lines.,B,Error: 'ryhme' should be 'rhyme' (rhy).,,,9,45,14
Spelling_2194,He bit,his tounge,now,too.,B,Error: 'tounge' should be 'tongue' (gue).,,,3,23,10
Spelling_2196,I am,truely,happy,now.,B,Error: 'truely' should be 'truly' (uly).,,,4,19,6
Spelling_220,The dancers moved,to the rythm,of the loud,music.,B,Error: 'rythm' should be 'rhythm' (rhy).,,,6,46,17
Spelling_2202,Eat your,vegtable,now,please.,B,Error: 'vegtable' should be 'vegetable' (get).,,,3,26,8
Spelling_221,He made a,great sacrifise to,help his friend,win.,B,Error: 'sacrifise' should be 'sacrifice' (fice).,,,4,46,18
Spelling_222,The school secratery,answered the phone,in the main,office.,A,Error: 'secratery' should be 'secretary' (ret).,,,7,56,20
Spelling_2227,It is,an anual,thing,now.,B,Error: 'anual' should be 'annual' (nnu).,,,4,22,8
Spelling_223,It makes no,sence to me,why he did,that.,B,Error: 'sence' should be 'sense' (se).,,,5,37,11
Spelling_224,Keep the red,pens seperate from,the blue pens,please.,B,Error: 'seperate' should be 'separate' (par).,,,7,50,18
Spelling_2249,It is,autum,leaves,now.,B,Error: 'autum' should be 'autumn' (tumn).,,,4,20,6
Spelling_225,The castle was,under seige for,many months last,year.,B,Error: 'seige' should be 'siege' (ie).,,,5,50,16
Spelling_2255,Keep your,ballance,now,too.,B,Error: 'ballance' should be 'balance' (lance).,,,3,24,9
Spelling_226,I am sincerly,grateful for your,help with my,work.,B,Error: 'sincerly' should be 'sincerely' (ely).,,,5,47,17
Spelling_227,My stomache aches,because I ate,too much food,today.,A,Error: 'stomache' should be 'stomach' (mach).,,,6,49,17
Spelling_228,We have suficient,food for everyone,at the party,tonight.,B,Error: 'suficient' should be 'sufficient' (ffi).,,,8,54,17
Spelling_2288,The chior,sang,well,now.,A,Error: 'chior' should be 'choir' (hoir).,,,4,21,9
Spelling_229,This new rule,will supercede the,old one from,tomorrow.,B,Error: 'supercede' should be 'supersede' (sede).,,,9,52,18
Spelling_2293,Clean the,clothes,now,please.,N,No error.,,,3,26,9
Spelling_2297,He is,comming,soon,now.,B,Error: 'comming' should be 'coming' (oming).,,,4,20,7
Spelling_2299,The comittee,sat,down,now.,A,Error: 'comittee' should be 'committee' (mittee).,,,3,23,12
Spelling_230,It was a,nice suprise to,see you here,today.,B,Error: 'suprise' should be 'surprise' (sur).,,,6,41,15
Spelling_2300,We can,communicate,now,well.,N,No error.,,,3,25,11
Spelling_231,He has a,tatoo of a,lion on his,arm.,B,Error: 'tatoo' should be 'tattoo' (tt).,,,4,33,11
Spelling_232,The water temperture,is very cold,in the swimming,pool.,B,Error: 'temperture' should be 'temperature' (era).,,,5,52,20
Spelling_233,He has a,tendancy to be,late for school,often.,B,Error: 'tendancy' should be 'tendency' (ency).,,,6,43,15
Spelling_234,I think therefor,I am said,the famous old,philosopher.,B,Error: 'therefor' should be 'therefore' (fore).,,,9,51,16
Spelling_235,He stood on,the threshhold of,the door waiting,quietly.,B,Error: 'threshhold' should be 'threshold' (sh).,,,8,52,17
Spelling_236,We will meet,tommorow morning at,ten o'clock sharp,here.,B,Error: 'tommorow' should be 'tomorrow' (rr).,,,5,53,19
Spelling_237,I bit my,tounge while eating,my dinner last,night.,B,Error: 'tounge' should be 'tongue' (gue).,,,6,47,19
Spelling_238,It was a,tragedy that the,ship sank in,sea.,N,No error.,,,4,40,16
Spelling_239,I am truely,sorry for what,I said to,you.,B,Error: 'truely' should be 'truly' (uly).,,,4,38,14
Spelling_240,It is the,twelth day of,the month of,June.,B,Error: 'twelth' should be 'twelfth' (fth).,,,5,39,13
Spelling_241,The delay was,unforseen by the,staff at the,station.,B,Error: 'unforseen' should be 'unforeseen' (fore).,,,8,49,16
Spelling_242,Unfortunatly we cannot,come to your,party on Saturday,night.,A,Error: 'Unfortunatly' should be 'Unfortunately' (ately).,,,6,57,22
Spelling_243,Please wait untill,the bus stops,before you stand,up.,B,Error: 'untill' should be 'until' (til).,,,3,50,18
Spelling_244,There is a,variaty of cakes,to choose from,here.,B,Error: 'variaty' should be 'variety' (iet).,,,5,45,16
Spelling_245,Eat your vegtable,soup before it,gets too cold,now.,B,Error: 'vegtable' should be 'vegetable' (get).,,,4,48,17
Spelling_246,The police veichle,drove fast down,the main road,today.,A,Error: 'veichle' should be 'vehicle' (hic).,,,6,52,18
Spelling_247,That is a,wierd thing to,say to someone,nice.,B,Error: 'wierd' should be 'weird' (ei).,,,5,42,14
Spelling_248,You can go,whereever you want,to go on,holiday.,B,Error: 'whereever' should be 'wherever' (ver).,,,8,44,18
Spelling_249,Wich one of,these books do,you want to,read?,A,Error: 'Wich' should be 'Which' (Whi).,,,5,41,14
Spelling_250,The bank withdrawl,machine is out,of order at,moment.,B,Error: 'withdrawl' should be 'withdrawal' (drawal).,,,7,50,18
Spelling_251,Do not withold,information from the,police officers asking,you.,B,Error: 'withold' should be 'withhold' (hh).,,,4,60,22
Spelling_252,He is writting,a letter to,his friend in,Spain.,A,Error: 'writting' should be 'writing' (writ).,,,6,44,14
Spelling_253,The expensive yatch,sailed across the,ocean in the,summer.,A,Error: 'yatch' should be 'yacht' (cht).,,,7,55,19
Spelling_254,The absence of,noise in the,library was very,nice.,N,No error.,,,5,47,16
Spelling_255,We found an,abundence of blackberries,in the woods,today.,B,Error: 'abundence' should be 'abundance' (ance).,,,6,54,25
Spelling_256,The toilet is,accesible for people,in wheelchairs to,use.,B,Error: 'accesible' should be 'accessible' (ssib).,,,4,54,20
Spelling_257,I accidently broke,the window with,my football last,week.,A,Error: 'accidently' should be 'accidentally' (ally).,,,5,54,18
Spelling_258,We can accommodate,five people in,our car for,trip.,N,No error.,,,5,48,18
Spelling_259,I will accompany,you to the,shops if you,want.,N,No error.,,,5,43,16
Spelling_260,He acted according,to the rules,of the school,game.,N,No error.,,,5,48,18
Spelling_261,I want to,acheive high marks,in my exams,soon.,B,Error: 'acheive' should be 'achieve' (ie).,,,5,43,18
Spelling_262,We swam accross,the river to,the other side,fast.,A,Error: 'accross' should be 'across' (ross).,,,5,46,15
Spelling_263,My new adress,is on the,card I gave,you.,A,Error: 'adress' should be 'address' (ddress).,,,4,37,13
Spelling_264,He was agressive,towards the other,players in the,match.,A,Error: 'agressive' should be 'aggressive' (ggr).,,,6,53,17
Spelling_265,He is an,amature boxer who,trains at the,gym.,B,Error: 'amature' should be 'amateur' (ateur).,,,4,42,17
Spelling_266,We visited the,ancient castle on,the hill last,year.,N,No error.,,,5,49,17
