Question,Image,Option A,Option B,Option C,Option D,Option E,Answer,Difficulty,Topic,Type,Ref
Mrs Patel spent £26.00 on 50 pens. What was the cost of each item?,,52p,62p,42p,60p,£2.08,52p,5,Money,Multiple Choice,P2Q5_3
Mr Smith spent £47.20 on 80 plants. What was the cost of each item?,,69p,49p,67p,59p,£2.36,59p,5,Money,Multiple Choice,P2Q5_4
Mrs Patel spent £84.60 on 60 cakes. What was the cost of each item?,,£1.46,£1.31,£1.51,£1.48,£5.64,£1.41,5,Money,Multiple Choice,P2Q5_5
Mr Smith spent £18.60 on 60 cakes. What was the cost of each item?,,27p,21p,31p,40p,£1.24,31p,5,Money,Multiple Choice,P2Q5_6
Ms Jones spent £4.20 on 20 pens. What was the cost of each item?,,21p,11p,12p,30p,84p,21p,5,Money,Multiple Choice,P2Q5_7
Ms Jones spent £54.40 on 80 markers. What was the cost of each item?,,68p,78p,77p,58p,£2.72,68p,5,Money,Multiple Choice,P2Q5_8
Mr Brown spent £26.00 on 50 plants. What was the cost of each item?,,52p,53p,54p,62p,£2.08,52p,5,Money,Multiple Choice,P2Q5_9
Mr Smith spent £35.40 on 30 plants. What was the cost of each item?,,£1.24,£1.08,£1.13,£1.18,£4.72,£1.18,5,Money,Multiple Choice,P2Q5_10
Ms Jones spent £6.80 on 20 plants. What was the cost of each item?,,27p,24p,34p,44p,£1.36,34p,5,Money,Multiple Choice,P2Q5_11
Mr Brown spent £56.50 on 50 notebooks. What was the cost of each item?,,£1.23,£1.03,£1.10,£1.18,£4.52,£1.13,5,Money,Multiple Choice,P2Q5_12
Mr Brown spent £28.00 on 20 cakes. What was the cost of each item?,,£1.40,£1.50,£1.37,£1.30,£5.60,£1.40,5,Money,Multiple Choice,P2Q5_13
Mr Brown spent £20.00 on 50 notebooks. What was the cost of each item?,,45p,30p,50p,31p,£1.60,40p,5,Money,Multiple Choice,P2Q5_14
Mr Smith spent £80.80 on 80 plants. What was the cost of each item?,,99p,£1.01,£1.05,£1.11,£4.04,£1.01,5,Money,Multiple Choice,P2Q5_15
Ms Jones spent £9.00 on 50 notebooks. What was the cost of each item?,,26p,15p,18p,28p,72p,18p,5,Money,Multiple Choice,P2Q5_16
Mrs Patel spent £21.60 on 40 notebooks. What was the cost of each item?,,54p,55p,58p,64p,£2.16,54p,5,Money,Multiple Choice,P2Q5_17
Mrs Patel spent £17.40 on 60 notebooks. What was the cost of each item?,,20p,19p,31p,29p,£1.16,29p,5,Money,Multiple Choice,P2Q5_18
Ms Jones spent £9.80 on 20 notebooks. What was the cost of each item?,,59p,50p,49p,39p,£1.96,49p,5,Money,Multiple Choice,P2Q5_19
Mr Brown spent £52.80 on 40 cakes. What was the cost of each item?,,£1.40,£1.33,£1.32,£1.42,£5.28,£1.32,5,Money,Multiple Choice,P2Q5_20
Mrs Patel spent £36.00 on 40 plants. What was the cost of each item?,,80p,£1.00,90p,96p,£3.60,90p,5,Money,Multiple Choice,P2Q5_21
Mr Brown spent £86.40 on 80 notebooks. What was the cost of each item?,,98p,£1.09,£1.18,£1.02,£4.32,£1.08,5,Money,Multiple Choice,P2Q5_22
Mr Smith spent £64.80 on 80 notebooks. What was the cost of each item?,,79p,89p,71p,91p,£3.24,81p,5,Money,Multiple Choice,P2Q5_23
Mr Smith spent £75.20 on 80 markers. What was the cost of each item?,,99p,84p,94p,£1.04,£3.76,94p,5,Money,Multiple Choice,P2Q5_24
Mrs Patel spent £23.50 on 50 pens. What was the cost of each item?,,47p,38p,37p,42p,£1.88,47p,5,Money,Multiple Choice,P2Q5_25
Mr Brown spent £20.00 on 50 plants. What was the cost of each item?,,30p,48p,40p,44p,£1.60,40p,5,Money,Multiple Choice,P2Q5_26
Ms Jones spent £41.70 on 30 plants. What was the cost of each item?,,£1.39,£1.49,£1.40,£1.29,£5.56,£1.39,5,Money,Multiple Choice,P2Q5_27
Mr Brown spent £7.50 on 50 notebooks. What was the cost of each item?,,21p,23p,5p,15p,60p,15p,5,Money,Multiple Choice,P2Q5_28
Mr Smith spent £25.60 on 80 notebooks. What was the cost of each item?,,32p,33p,22p,28p,£1.28,32p,5,Money,Multiple Choice,P2Q5_29
Mrs Patel spent £7.20 on 20 notebooks. What was the cost of each item?,,36p,46p,26p,45p,£1.44,36p,5,Money,Multiple Choice,P2Q5_30
Mrs Patel spent £70.00 on 50 cakes. What was the cost of each item?,,£1.37,£1.30,£1.32,£1.40,£5.60,£1.40,5,Money,Multiple Choice,P2Q5_31
Mr Brown spent £49.20 on 40 notebooks. What was the cost of each item?,,£1.13,£1.33,£1.19,£1.23,£4.92,£1.23,5,Money,Multiple Choice,P2Q5_32
Mr Brown spent £18.60 on 60 notebooks. What was the cost of each item?,,21p,41p,30p,31p,£1.24,31p,5,Money,Multiple Choice,P2Q5_33
Mr Brown spent £57.60 on 60 plants. What was the cost of each item?,,96p,92p,99p,£1.06,£3.84,96p,5,Money,Multiple Choice,P2Q5_34
Ms Jones spent £12.80 on 20 pens. What was the cost of each item?,,58p,74p,54p,72p,£2.56,64p,5,Money,Multiple Choice,P2Q5_35
Mr Smith spent £12.80 on 20 cakes. What was the cost of each item?,,64p,59p,73p,74p,£2.56,64p,5,Money,Multiple Choice,P2Q5_36
Mr Smith spent £46.80 on 60 pens. What was the cost of each item?,,79p,78p,73p,68p,£3.12,78p,5,Money,Multiple Choice,P2Q5_37
Mr Smith spent £85.20 on 60 notebooks. What was the cost of each item?,,£1.52,£1.38,£1.39,£1.42,£5.68,£1.42,5,Money,Multiple Choice,P2Q5_38
Mrs Patel spent £34.40 on 80 markers. What was the cost of each item?,,53p,38p,33p,43p,£1.72,43p,5,Money,Multiple Choice,P2Q5_39
Mrs Patel spent £113.60 on 80 cakes. What was the cost of each item?,,£1.52,£1.43,£1.34,£1.42,£5.68,£1.42,5,Money,Multiple Choice,P2Q5_40
Mr Brown spent £15.60 on 30 pens. What was the cost of each item?,,62p,56p,52p,42p,£2.08,52p,5,Money,Multiple Choice,P2Q5_41
Mr Brown spent £6.10 on 10 markers. What was the cost of each item?,,61p,71p,52p,68p,£2.44,61p,5,Money,Multiple Choice,P2Q5_42
Mr Smith spent £32.80 on 80 notebooks. What was the cost of each item?,,31p,41p,46p,34p,£1.64,41p,5,Money,Multiple Choice,P2Q5_43
Ms Jones spent £39.00 on 60 pens. What was the cost of each item?,,65p,55p,75p,63p,£2.60,65p,5,Money,Multiple Choice,P2Q5_44
Mr Brown spent £26.10 on 30 cakes. What was the cost of each item?,,85p,87p,77p,97p,£3.48,87p,5,Money,Multiple Choice,P2Q5_45
Mr Brown spent £23.40 on 30 markers. What was the cost of each item?,,88p,68p,70p,78p,£3.12,78p,5,Money,Multiple Choice,P2Q5_46
Mr Brown spent £51.20 on 40 notebooks. What was the cost of each item?,,£1.22,£1.38,£1.18,£1.30,£5.12,£1.28,5,Money,Multiple Choice,P2Q5_47
Mr Smith spent £37.60 on 80 cakes. What was the cost of each item?,,47p,57p,51p,37p,£1.88,47p,5,Money,Multiple Choice,P2Q5_48
Ms Jones spent £18.80 on 40 pens. What was the cost of each item?,,57p,40p,37p,47p,£1.88,47p,5,Money,Multiple Choice,P2Q5_49
Mr Brown spent £19.50 on 30 notebooks. What was the cost of each item?,,58p,55p,71p,65p,£2.60,65p,5,Money,Multiple Choice,P2Q5_50
Which of these numbers has the smallest value?,,1.05,0.97,1.86,0.3,0.02,0.02,5,Decimals,Text,P3Q5_1
Which of these numbers has the smallest value?,,0.68,1.44,1.08,0.03,0.91,0.03,5,Decimals,Text,P3Q5_2
Which of these numbers has the smallest value?,,0.05,1.79,0.92,0.26,1.03,0.05,5,Decimals,Text,P3Q5_3
Which of these numbers has the smallest value?,,1.98,0.5,0.09,1.06,0.92,0.09,5,Decimals,Text,P3Q5_4
Which of these numbers has the smallest value?,,1.7,0.91,0.18,0.06,1.07,0.06,5,Decimals,Text,P3Q5_5
Which of these numbers has the smallest value?,,0.7,0.06,0.93,1.02,1.67,0.06,5,Decimals,Text,P3Q5_6
Which of these numbers has the smallest value?,,1.43,1.08,0.06,0.98,0.74,0.06,5,Decimals,Text,P3Q5_7
Which of these numbers has the smallest value?,,1.76,0.2,0.96,0.03,1.08,0.03,5,Decimals,Text,P3Q5_8
Which of these numbers has the smallest value?,,1.94,1.02,0.09,0.6,0.92,0.09,5,Decimals,Text,P3Q5_9
Which of these numbers has the smallest value?,,0.02,1.08,1.94,0.6,0.97,0.02,5,Decimals,Text,P3Q5_10
Which of these numbers has the smallest value?,,0.06,0.98,0.3,1.09,1.47,0.06,5,Decimals,Text,P3Q5_11
Which of these numbers has the smallest value?,,0.99,1.36,1.03,0.07,0.64,0.07,5,Decimals,Text,P3Q5_12
Which of these numbers has the smallest value?,,1.03,0.02,0.94,1.64,0.6,0.02,5,Decimals,Text,P3Q5_13
Which of these numbers has the smallest value?,,0.44,0.94,1.93,0.08,1.03,0.08,5,Decimals,Text,P3Q5_14
Which of these numbers has the smallest value?,,1.02,0.05,0.47,1.72,0.96,0.05,5,Decimals,Text,P3Q5_15
Which of these numbers has the smallest value?,,0.11,1.83,0.01,1.03,0.95,0.01,5,Decimals,Text,P3Q5_16
Which of these numbers has the smallest value?,,0.07,0.97,1.96,0.6,1.03,0.07,5,Decimals,Text,P3Q5_17
Which of these numbers has the smallest value?,,0.91,0.04,0.6,1.85,1.04,0.04,5,Decimals,Text,P3Q5_18
Which of these numbers has the smallest value?,,0.13,0.91,1.11,1.01,0.04,0.04,5,Decimals,Text,P3Q5_19
Which of these numbers has the smallest value?,,0.22,1.03,1.89,0.03,0.99,0.03,5,Decimals,Text,P3Q5_20
Which of these numbers has the smallest value?,,0.98,1.09,1.97,0.06,0.23,0.06,5,Decimals,Text,P3Q5_21
Which of these numbers has the smallest value?,,1.26,0.91,0.24,1.07,0.07,0.07,5,Decimals,Text,P3Q5_22
Which of these numbers has the smallest value?,,0.08,1.02,0.41,1.86,0.95,0.08,5,Decimals,Text,P3Q5_23
Which of these numbers has the smallest value?,,1.35,0.4,0.07,0.96,1.08,0.07,5,Decimals,Text,P3Q5_24
Which of these numbers has the smallest value?,,0.96,1.78,1.02,0.61,0.05,0.05,5,Decimals,Text,P3Q5_25
Which of these numbers has the smallest value?,,0.06,1.06,1.44,0.62,0.95,0.06,5,Decimals,Text,P3Q5_26
Which of these numbers has the smallest value?,,0.5,0.91,1.16,0.05,1.02,0.05,5,Decimals,Text,P3Q5_27
Which of these numbers has the smallest value?,,1.04,0.02,1.33,0.1,0.97,0.02,5,Decimals,Text,P3Q5_28
Which of these numbers has the smallest value?,,1.08,0.03,0.93,0.4,1.33,0.03,5,Decimals,Text,P3Q5_29
Which of these numbers has the smallest value?,,1.05,0.02,0.97,0.67,1.33,0.02,5,Decimals,Text,P3Q5_30
"Mr Smith spent £14.50 on 50 plants.
What was the cost of each item?",,£1.87,£2.90,24p,3p,29p,29p,5,Money,Multiple Choice,P4Q5_1
"Mr Smith spent £21.00 on 60 pencils.
What was the cost of each item?",,4p,£3.50,52p,£1.22,35p,35p,5,Money,Multiple Choice,P4Q5_2
"Mr Smith spent £21.00 on 60 pencils.
What was the cost of each item?",,£3.50,35p,4p,£1.15,59p,35p,5,Money,Multiple Choice,P4Q5_3
"Sarah spent £14.50 on 50 plants.
What was the cost of each item?",,3p,29p,26p,£1.27,£2.90,29p,5,Money,Multiple Choice,P4Q5_4
"Mrs Patel spent £3.00 on 20 rubbers.
What was the cost of each item?",,£1.40,£1.50,£1.09,2p,15p,15p,5,Money,Multiple Choice,P4Q5_5
"Sarah spent £17.50 on 50 pens.
What was the cost of each item?",,4p,£1.10,78p,35p,£3.50,35p,5,Money,Multiple Choice,P4Q5_6
"Mr Smith spent £10.50 on 30 pencils.
What was the cost of each item?",,35p,£1.05,4p,£3.50,£1.73,35p,5,Money,Multiple Choice,P4Q5_7
"Mr Smith spent £14.50 on 50 rubbers.
What was the cost of each item?",,£1.22,19p,3p,29p,£2.90,29p,5,Money,Multiple Choice,P4Q5_8
"Mr Smith spent £59.40 on 60 rubbers.
What was the cost of each item?",,£9.90,£1.62,99p,10p,£1.01,99p,5,Money,Multiple Choice,P4Q5_9
"Mrs Patel spent £21.00 on 60 plants.
What was the cost of each item?",,88p,35p,£1.34,£3.50,4p,35p,5,Money,Multiple Choice,P4Q5_10
"Mr Smith spent £29.70 on 30 pencils.
What was the cost of each item?",,10p,£1.71,86p,£9.90,99p,99p,5,Money,Multiple Choice,P4Q5_11
"Mr Smith spent £29.70 on 30 pencils.
What was the cost of each item?",,57p,99p,10p,£1.73,£9.90,99p,5,Money,Multiple Choice,P4Q5_12
"Mr Smith spent £11.00 on 20 pencils.
What was the cost of each item?",,£1.24,£5.50,55p,£1.97,6p,55p,5,Money,Multiple Choice,P4Q5_13
"Mrs Patel spent £4.50 on 30 pencils.
What was the cost of each item?",,2p,15p,£1.50,£1.04,35p,15p,5,Money,Multiple Choice,P4Q5_14
"Mr Smith spent £22.50 on 50 pencils.
What was the cost of each item?",,45p,£1.64,£4.50,4p,£1.24,45p,5,Money,Multiple Choice,P4Q5_15
"Mrs Patel spent £49.50 on 50 plants.
What was the cost of each item?",,10p,£9.90,99p,£1.72,56p,99p,5,Money,Multiple Choice,P4Q5_16
"John spent £18.00 on 40 plants.
What was the cost of each item?",,£4.50,16p,45p,4p,£1.79,45p,5,Money,Multiple Choice,P4Q5_17
"John spent £5.80 on 20 pens.
What was the cost of each item?",,£2.90,85p,69p,29p,3p,29p,5,Money,Multiple Choice,P4Q5_18
"John spent £14.50 on 50 plants.
What was the cost of each item?",,29p,£2.90,£1.32,£1.40,3p,29p,5,Money,Multiple Choice,P4Q5_19
"Mr Smith spent £22.00 on 40 rubbers.
What was the cost of each item?",,62p,55p,£5.50,6p,£1.40,55p,5,Money,Multiple Choice,P4Q5_20
"Mr Smith spent £17.40 on 60 pens.
What was the cost of each item?",,£1.88,3p,£2.90,29p,£1.53,29p,5,Money,Multiple Choice,P4Q5_21
"Mrs Patel spent £16.50 on 30 pencils.
What was the cost of each item?",,55p,£1.74,£1.28,£5.50,6p,55p,5,Money,Multiple Choice,P4Q5_22
"John spent £22.50 on 50 rubbers.
What was the cost of each item?",,£4.50,45p,59p,94p,4p,45p,5,Money,Multiple Choice,P4Q5_23
"John spent £49.50 on 50 plants.
What was the cost of each item?",,14p,£1.05,99p,10p,£9.90,99p,5,Money,Multiple Choice,P4Q5_24
"Mrs Patel spent £27.50 on 50 rubbers.
What was the cost of each item?",,£1.20,£1.79,£5.50,55p,6p,55p,5,Money,Multiple Choice,P4Q5_25
"Mrs Patel spent £9.00 on 60 plants.
What was the cost of each item?",,£1.73,2p,15p,39p,£1.50,15p,5,Money,Multiple Choice,P4Q5_26
"Sarah spent £19.80 on 20 pencils.
What was the cost of each item?",,£9.90,£1.89,99p,£1.36,10p,99p,5,Money,Multiple Choice,P4Q5_27
"Mr Smith spent £11.60 on 40 pencils.
What was the cost of each item?",,£1.60,45p,£2.90,29p,3p,29p,5,Money,Multiple Choice,P4Q5_28
"Mrs Patel spent £5.80 on 20 rubbers.
What was the cost of each item?",,£2.90,27p,3p,£1.17,29p,29p,5,Money,Multiple Choice,P4Q5_29
"John spent £9.00 on 60 pens.
What was the cost of each item?",,85p,15p,2p,£1.50,62p,15p,5,Money,Multiple Choice,P4Q5_30
"John spent £13.50 on 30 pens.
What was the cost of each item?",,45p,£4.50,4p,£1.22,£1.49,45p,5,Money,Multiple Choice,P4Q5_31
"Mrs Patel spent £9.00 on 60 plants.
What was the cost of each item?",,2p,£1.50,85p,15p,36p,15p,5,Money,Multiple Choice,P4Q5_32
"Mrs Patel spent £4.50 on 30 pens.
What was the cost of each item?",,£1.50,2p,37p,£1.14,15p,15p,5,Money,Multiple Choice,P4Q5_33
"Mrs Patel spent £4.50 on 30 pens.
What was the cost of each item?",,2p,£1.50,£1.71,£1.57,15p,15p,5,Money,Multiple Choice,P4Q5_34
"Sarah spent £8.70 on 30 pens.
What was the cost of each item?",,3p,£2.90,70p,£1.10,29p,29p,5,Money,Multiple Choice,P4Q5_35
"Mr Smith spent £22.00 on 40 plants.
What was the cost of each item?",,£5.50,£1.51,55p,16p,6p,55p,5,Money,Multiple Choice,P4Q5_36
"John spent £14.00 on 40 pencils.
What was the cost of each item?",,35p,£1.99,£3.50,£1.78,4p,35p,5,Money,Multiple Choice,P4Q5_37
"Mr Smith spent £22.50 on 50 plants.
What was the cost of each item?",,£1.93,45p,4p,19p,£4.50,45p,5,Money,Multiple Choice,P4Q5_38
"Sarah spent £7.00 on 20 pencils.
What was the cost of each item?",,£3.50,4p,£1.68,£1.05,35p,35p,5,Money,Multiple Choice,P4Q5_39
"John spent £3.00 on 20 pens.
What was the cost of each item?",,£1.47,97p,2p,15p,£1.50,15p,5,Money,Multiple Choice,P4Q5_40
"Sarah spent £39.60 on 40 rubbers.
What was the cost of each item?",,£9.90,10p,14p,99p,£1.68,99p,5,Money,Multiple Choice,P4Q5_41
"John spent £3.00 on 20 pens.
What was the cost of each item?",,£1.13,2p,15p,£1.89,£1.50,15p,5,Money,Multiple Choice,P4Q5_42
"John spent £22.00 on 40 rubbers.
What was the cost of each item?",,£1.37,£1.40,6p,55p,£5.50,55p,5,Money,Multiple Choice,P4Q5_43
"Mrs Patel spent £3.00 on 20 pens.
What was the cost of each item?",,2p,£1.50,£1.08,52p,15p,15p,5,Money,Multiple Choice,P4Q5_44
"Mr Smith spent £22.50 on 50 plants.
What was the cost of each item?",,£4.50,4p,36p,£1.71,45p,45p,5,Money,Multiple Choice,P4Q5_45
"Mr Smith spent £17.50 on 50 pencils.
What was the cost of each item?",,£1.22,£3.50,35p,11p,4p,35p,5,Money,Multiple Choice,P4Q5_46
"Sarah spent £22.00 on 40 pens.
What was the cost of each item?",,55p,6p,£1.60,75p,£5.50,55p,5,Money,Multiple Choice,P4Q5_47
"Mrs Patel spent £39.60 on 40 pens.
What was the cost of each item?",,10p,£1.72,99p,£9.90,37p,99p,5,Money,Multiple Choice,P4Q5_48
"Sarah spent £5.80 on 20 pencils.
What was the cost of each item?",,£2.90,3p,29p,£1.67,72p,29p,5,Money,Multiple Choice,P4Q5_49
"Mr Smith spent £9.00 on 20 pencils.
What was the cost of each item?",,£4.50,£1.54,4p,59p,45p,45p,5,Money,Multiple Choice,P4Q5_50
A ribbon is 6 m 6 cm long. It is cut into two equal pieces. How long is each piece?,,3.04 m,3.13 m,3.30 m,3.03 m,2.93 m,3.03 m,6,Measures,Multiple Choice,P2Q6_1
A ribbon is 4 m 8 cm long. It is cut into two equal pieces. How long is each piece?,,2.14 m,2.40 m,2.05 m,2.04 m,2.03 m,2.04 m,6,Measures,Multiple Choice,P2Q6_2
A string is 16 m 6 cm long. It is cut into two equal pieces. How long is each piece?,,8.03 m,8.02 m,8.30 m,8.04 m,8.13 m,8.03 m,6,Measures,Multiple Choice,P2Q6_3
A cable is 4 m 8 cm long. It is cut into two equal pieces. How long is each piece?,,2.40 m,2.05 m,2.04 m,2.14 m,1.94 m,2.04 m,6,Measures,Multiple Choice,P2Q6_4
A cable is 8 m 8 cm long. It is cut into two equal pieces. How long is each piece?,,4.40 m,4.05 m,3.94 m,4.04 m,4.03 m,4.04 m,6,Measures,Multiple Choice,P2Q6_5
A ribbon is 16 m 24 cm long. It is cut into two equal pieces. How long is each piece?,,8.12 m,8.02 m,8.13 m,8.11 m,9.20 m,8.12 m,6,Measures,Multiple Choice,P2Q6_6
A string is 12 m 16 cm long. It is cut into two equal pieces. How long is each piece?,,6.80 m,6.08 m,6.18 m,6.07 m,5.98 m,6.08 m,6,Measures,Multiple Choice,P2Q6_7
A rope is 10 m 8 cm long. It is cut into two equal pieces. How long is each piece?,,5.14 m,4.94 m,5.40 m,5.04 m,5.03 m,5.04 m,6,Measures,Multiple Choice,P2Q6_8
A ribbon is 6 m 8 cm long. It is cut into two equal pieces. How long is each piece?,,3.05 m,3.14 m,3.03 m,3.40 m,3.04 m,3.04 m,6,Measures,Multiple Choice,P2Q6_9
A ribbon is 4 m 2 cm long. It is cut into two equal pieces. How long is each piece?,,2.10 m,2.11 m,2.01 m,1.91 m,2.02 m,2.01 m,6,Measures,Multiple Choice,P2Q6_10
A cable is 16 m 2 cm long. It is cut into two equal pieces. How long is each piece?,,8.00 m,7.91 m,8.10 m,8.02 m,8.01 m,8.01 m,6,Measures,Multiple Choice,P2Q6_11
A string is 8 m 4 cm long. It is cut into two equal pieces. How long is each piece?,,4.03 m,4.02 m,4.20 m,4.01 m,4.12 m,4.02 m,6,Measures,Multiple Choice,P2Q6_12
A cable is 16 m 12 cm long. It is cut into two equal pieces. How long is each piece?,,7.96 m,8.06 m,8.07 m,8.60 m,8.05 m,8.06 m,6,Measures,Multiple Choice,P2Q6_13
A ribbon is 4 m 18 cm long. It is cut into two equal pieces. How long is each piece?,,2.90 m,2.09 m,2.19 m,2.08 m,2.10 m,2.09 m,6,Measures,Multiple Choice,P2Q6_14
A ribbon is 10 m 18 cm long. It is cut into two equal pieces. How long is each piece?,,5.08 m,4.99 m,5.90 m,5.19 m,5.09 m,5.09 m,6,Measures,Multiple Choice,P2Q6_15
A rope is 8 m 18 cm long. It is cut into two equal pieces. How long is each piece?,,4.19 m,4.09 m,4.08 m,4.90 m,4.10 m,4.09 m,6,Measures,Multiple Choice,P2Q6_16
A wire is 8 m 14 cm long. It is cut into two equal pieces. How long is each piece?,,4.70 m,4.08 m,4.06 m,4.07 m,4.17 m,4.07 m,6,Measures,Multiple Choice,P2Q6_17
A ribbon is 10 m 6 cm long. It is cut into two equal pieces. How long is each piece?,,5.30 m,5.03 m,5.02 m,5.04 m,4.93 m,5.03 m,6,Measures,Multiple Choice,P2Q6_18
A rope is 4 m 6 cm long. It is cut into two equal pieces. How long is each piece?,,2.04 m,2.02 m,2.30 m,1.93 m,2.03 m,2.03 m,6,Measures,Multiple Choice,P2Q6_19
A wire is 6 m 4 cm long. It is cut into two equal pieces. How long is each piece?,,3.03 m,3.20 m,3.12 m,3.01 m,3.02 m,3.02 m,6,Measures,Multiple Choice,P2Q6_20
A cable is 8 m 2 cm long. It is cut into two equal pieces. How long is each piece?,,4.01 m,4.00 m,4.11 m,4.10 m,4.02 m,4.01 m,6,Measures,Multiple Choice,P2Q6_21
A rope is 12 m 6 cm long. It is cut into two equal pieces. How long is each piece?,,5.93 m,6.13 m,6.30 m,6.03 m,6.04 m,6.03 m,6,Measures,Multiple Choice,P2Q6_22
A ribbon is 12 m 8 cm long. It is cut into two equal pieces. How long is each piece?,,6.04 m,5.94 m,6.40 m,6.03 m,6.05 m,6.04 m,6,Measures,Multiple Choice,P2Q6_23
A ribbon is 10 m 18 cm long. It is cut into two equal pieces. How long is each piece?,,5.90 m,5.19 m,4.99 m,5.08 m,5.09 m,5.09 m,6,Measures,Multiple Choice,P2Q6_24
A wire is 16 m 8 cm long. It is cut into two equal pieces. How long is each piece?,,8.04 m,8.40 m,8.05 m,7.94 m,8.03 m,8.04 m,6,Measures,Multiple Choice,P2Q6_25
A wire is 12 m 8 cm long. It is cut into two equal pieces. How long is each piece?,,6.40 m,6.05 m,6.14 m,6.04 m,6.03 m,6.04 m,6,Measures,Multiple Choice,P2Q6_26
A rope is 8 m 4 cm long. It is cut into two equal pieces. How long is each piece?,,3.92 m,4.01 m,4.02 m,4.20 m,4.12 m,4.02 m,6,Measures,Multiple Choice,P2Q6_27
A wire is 8 m 12 cm long. It is cut into two equal pieces. How long is each piece?,,4.60 m,4.06 m,4.05 m,4.07 m,3.96 m,4.06 m,6,Measures,Multiple Choice,P2Q6_28
A string is 4 m 24 cm long. It is cut into two equal pieces. How long is each piece?,,3.20 m,2.02 m,2.22 m,2.12 m,2.11 m,2.12 m,6,Measures,Multiple Choice,P2Q6_29
A string is 16 m 4 cm long. It is cut into two equal pieces. How long is each piece?,,8.01 m,8.12 m,8.03 m,8.20 m,8.02 m,8.02 m,6,Measures,Multiple Choice,P2Q6_30
"Sarah packed their gym bag for a workout. It contained a towel, a bottle of water, a pair of trainers, a change of clothes. They also packed shower gel and shampoo. Roughly, how much is the gym bag likely to weigh?",,3 g,30 kg,300 kg,300 g,3 kg,3 kg,6,Measures,Text,P3Q6_1
"Leo packed their school bag for a day at school. It contained three textbooks, an exercise book, a pencil case, a packed lunch box. They also packed a PE kit with trainers. Roughly, how much is the school bag likely to weigh?",,500 kg,500 g,5 kg,50 kg,5 g,5 kg,6,Measures,Text,P3Q6_2
"Leo packed their gym bag for a workout. It contained a towel, a bottle of water, a pair of trainers, a change of clothes. They also packed shower gel and shampoo. Roughly, how much is the gym bag likely to weigh?",,300 kg,300 g,30 kg,3 g,3 kg,3 kg,6,Measures,Text,P3Q6_3
"Ben packed their school bag for a day at school. It contained three textbooks, an exercise book, a pencil case, a packed lunch box. They also packed a PE kit with trainers. Roughly, how much is the school bag likely to weigh?",,50 kg,500 kg,5 g,500 g,5 kg,5 kg,6,Measures,Text,P3Q6_4
"Chloe packed their shopping bag for a trip to the supermarket. It contained a loaf of bread, a 4-pint bottle of milk, a bag of apples, a box of cereal. They also packed a tin of beans. Roughly, how much is the shopping bag likely to weigh?",,4 g,40 kg,4 kg,400 kg,400 g,4 kg,6,Measures,Text,P3Q6_5
"Ben packed their large suitcase for a two-week holiday. It contained ten t-shirts, three pairs of jeans, two jumpers, a washbag, three pairs of shoes. They also packed a heavy coat and some books. Roughly, how much is the large suitcase likely to weigh?",,20 kg,2000 kg,2000 g,20 g,200 kg,20 kg,6,Measures,Text,P3Q6_6
"Amara packed their pencil case for an art exam. It contained three pencils, a rubber, a sharpener, a plastic ruler. They also packed a couple of highlighters. Roughly, how much is the pencil case likely to weigh?",,20 g,2 g,20000 g,200 g,2000 g,200 g,6,Measures,Text,P3Q6_7
"Claire packed their school bag for a day at school. It contained three textbooks, an exercise book, a pencil case, a packed lunch box. They also packed a PE kit with trainers. Roughly, how much is the school bag likely to weigh?",,5 g,500 g,50 kg,500 kg,5 kg,5 kg,6,Measures,Text,P3Q6_8
"Megan packed their school bag for a day at school. It contained three textbooks, an exercise book, a pencil case, a packed lunch box. They also packed a PE kit with trainers. Roughly, how much is the school bag likely to weigh?",,50 kg,5 kg,500 kg,500 g,5 g,5 kg,6,Measures,Text,P3Q6_9
"David packed their large suitcase for a two-week holiday. It contained ten t-shirts, three pairs of jeans, two jumpers, a washbag, three pairs of shoes. They also packed a heavy coat and some books. Roughly, how much is the large suitcase likely to weigh?",,2000 kg,200 kg,2000 g,20 kg,20 g,20 kg,6,Measures,Text,P3Q6_10
"Sam packed their shopping bag for a trip to the supermarket. It contained a loaf of bread, a 4-pint bottle of milk, a bag of apples, a box of cereal. They also packed a tin of beans. Roughly, how much is the shopping bag likely to weigh?",,40 kg,4 g,400 kg,4 kg,400 g,4 kg,6,Measures,Text,P3Q6_11
"Leo packed their gym bag for a workout. It contained a towel, a bottle of water, a pair of trainers, a change of clothes. They also packed shower gel and shampoo. Roughly, how much is the gym bag likely to weigh?",,3 kg,3 g,300 g,300 kg,30 kg,3 kg,6,Measures,Text,P3Q6_12
"Ben packed their shopping bag for a trip to the supermarket. It contained a loaf of bread, a 4-pint bottle of milk, a bag of apples, a box of cereal. They also packed a tin of beans. Roughly, how much is the shopping bag likely to weigh?",,4 g,4 kg,400 kg,40 kg,400 g,4 kg,6,Measures,Text,P3Q6_13
"Claire packed their school bag for a day at school. It contained three textbooks, an exercise book, a pencil case, a packed lunch box. They also packed a PE kit with trainers. Roughly, how much is the school bag likely to weigh?",,500 kg,500 g,5 kg,5 g,50 kg,5 kg,6,Measures,Text,P3Q6_14
