T24Q6,Why was she not given credit?,She was a woman.,She was poor.,She was uneducated.,All of the above.,She didn't want it.,D,text_24.txt
T24Q7,What is an Ichthyosaur?,A bird,A marine reptile,A land dinosaur,A fish,A whale,B,text_24.txt
T24Q8,"What is ""palaeontology""?",Study of rocks,Study of fossils,Study of maps,Study of sea,Study of stars,B,text_24.txt
T24Q9,"""Landslides often reveal new rocks."" Which word is the verb?",Landslides,Often,Reveal,New,Rocks,C,text_24.txt
T24Q10,Why is the area called the Jurassic Coast?,It is a park.,It has fossils from the dinosaur era.,It is named after a person.,It is scary.,It is in America.,B,text_24.txt
T25Q1,Where was the entrance to the cave?,Under a rock,Behind a waterfall,Beneath the roots of a banyan tree,In a shed,On a hill,C,text_25.txt
T25Q2,Who went in first?,Ben,Sarah,A dog,A guide,Nobody,B,text_25.txt
T25Q3,What did the crystals look like?,Small and dull,"Giant, purple and white",Red and hot,Green and slimy,Invisible,B,text_25.txt
T25Q4,What happened to the torchlight?,It went out.,It was absorbed.,It was amplified/reflected.,It turned blue.,It flickered.,C,text_25.txt
T25Q5,What sound did the crystals make?,A scream,A whisper,A low resonant hum,A crash,A song,C,text_25.txt
T25Q6,How did the crystal feel?,Cold,Wet,Warm and alive,Rough,Sharp,C,text_25.txt
T25Q7,What did Ben conclude about the cave?,It was a mine.,It was a home.,It was a machine.,It was dangerous.,It was a dream.,C,text_25.txt
T25Q8,"Which word means ""deep and echoing""?",Jagged,Resonant,Damp,Twisted,Dull,B,text_25.txt
T25Q9,"""The darkness swallowing her up."" What technique is this?",Metaphor/Personification,Simile,Rhyme,Fact,List,A,text_25.txt
T25Q10,"What is a ""geode""?",A type of tree,A hollow rock with crystals inside,A type of map,A torch,A muddy slope,B,text_25.txt
T26Q1,"What are the ""heralds of the returning light""?",The sun,Snowdrops,Lambs,Birds,Trees,B,text_26.txt
T26Q2,What colour do the trees turn?,Grey,White,Green,Brown,Red,C,text_26.txt
T26Q3,What are the birds doing?,Sleeping,Migrating,Nesting/Bustling,Fighting,Eating,C,text_26.txt
T26Q4,How are the lambs described?,Sleepy,Playful/Kicking up heels,Scared,Hungry,Loud,B,text_26.txt
T26Q5,What does the sun defeat?,The moon,The rain,The cold,The wind,The clouds,C,text_26.txt
T26Q6,"What is the ""silence of winter"" replaced by?",Noise,Traffic,A beating rhythm/Nature's heart,Music,Wind,C,text_26.txt
T26Q7,What rhyming pattern does the poem use?,AABB,ABAB,ABBA,ABC,None,A,text_26.txt
T26Q8,"""Trees, once bare and skeletal."" What does skeletal mean?",Like a skeleton/Bony,Fat,Green,Alive,Broken,A,text_26.txt
T26Q9,"""New life explodes in every part."" Which word is the verb?",New,Life,Explodes,Every,Part,C,text_26.txt
T26Q10,What is the theme of the poem?,Death,Rebirth/New Life,Sadness,War,Travel,B,text_26.txt
T27Q1,Where does the cacao tree grow?,Cold climates,Deserts,Tropical climates near the equator,Europe,The Arctic,C,text_27.txt
T27Q2,What is inside the pods?,Chocolate bars,Milk,Beans and pulp,Sugar,Nothing,C,text_27.txt
T27Q3,What do the beans taste like initially?,Sweet,Salty,Bitter,Sour,Spicy,C,text_27.txt
T27Q4,What happens during fermentation?,They are cooked.,They rot.,Flavour develops and pulp drains.,They are frozen.,They are washed.,C,text_27.txt
T27Q5,Why are the beans roasted?,To kill bugs.,To bring out flavour.,To melt them.,To dry them.,To make them white.,B,text_27.txt
T27Q6,"What are ""nibs""?",The shells,The beans without shells,The leaves,The pods,The liquid,B,text_27.txt
T27Q7,What is added to make milk chocolate?,Water,Oil,Sugar and milk,Salt,Pepper,C,text_27.txt
T27Q8,"What is ""conching""?",Cracking the pods,Drying the beans,Smoothing and heating the mixture,Wrapping the bars,Eating,C,text_27.txt
T27Q9,"""Farmers harvest these pods."" Which word is the subject?",Farmers,Harvest,These,Pods,None,A,text_27.txt
T27Q10,What covers the beans in the box?,Plastic,Cloth,Banana leaves,Soil,Water,C,text_27.txt
T28Q1,Why did Liam go into the woods?,To play,To find his dog,On a dare,To get wood,To hide,B,text_28.txt
T28Q2,What time did he enter?,Morning,Noon,Sunset/Dark,Midnight,Dawn,C,text_28.txt
T28Q3,Who spoke to him?,A ghost,A witch,The trees,His dog,The wind,C,text_28.txt
T28Q4,What did the tree face look like?,Happy,Angry,Old and sad,Young,Scary,C,text_28.txt
T28Q5,Where did the tree say Buster was?,Home,Dead,The Stone Circle,The river,The village,C,text_28.txt
T28Q6,"Who are the ""Old Ones""?",The villagers,The dogs,Unknown/Ancient spirits,The birds,The children,C,text_28.txt
T28Q7,What made Liam keep going?,He was brave.,He heard a bark.,The tree pushed him.,He saw a light.,He got lost.,B,text_28.txt
T28Q8,"Which word means ""beliefs not based on fact""?",Secrets,Superstitions,Intruders,Gnarled,Gathering,B,text_28.txt
T28Q9,"""The shadows stretched out like long, thin fingers."" What is this?",Metaphor,Simile,Fact,Alliteration,Rhyme,B,text_28.txt
T28Q10,How did the leaves sound?,Like rain,Like whispers/Shushing,Like music,Like screaming,Like crying,B,text_28.txt
T29Q1,Where do Emperor Penguins live?,Arctic,North Pole,Antarctica,Zoo,Africa,C,text_29.txt
T29Q2,Who incubates the egg?,The female,The male,Both,The sun,Nobody,B,text_29.txt
T29Q3,Where does the female go?,To sleep,To the sea to hunt,To the mountains,To a nest,To the north,B,text_29.txt
T29Q4,"What is the ""brood pouch""?",A bag,A nest,A flap of skin,A cave,A rock,C,text_29.txt
T29Q5,Why do they huddle?,To sleep,To fight,To survive the cold/wind,To hide,To dance,C,text_29.txt
T29Q6,How long does the male go without food?,1 week,1 month,2 months,1 day,6 months,C,text_29.txt
T29Q7,What happens if the egg touches the ice?,It hatches.,It bounces.,It freezes.,It rolls.,Nothing.,C,text_29.txt
T29Q8,"Which word means ""extremely harsh or cruel""?",Breeding,Severe,Harsh,Huddle,Instantly,C,text_29.txt
T29Q9,"""The male balances the egg."" Which word is the object?",The,Male,Balances,Egg,None,D,text_29.txt
T29Q10,What is unique about the Emperor Penguin compared to others?,It is the smallest.,It can fly.,It is the largest.,It is green.,It lives in forests.,C,text_29.txt
T30Q1,When was the Great Fire?,1066,1666,1966,1500,1700,B,text_30.txt
T30Q2,Where did it start?,A church,A palace,A bakery on Pudding Lane,A boat,A stable,C,text_30.txt
T30Q3,Why did it spread so fast?,Houses were wood and close together.,It was windy.,It was dry.,All of the above.,Someone spread it.,D,text_30.txt
T30Q4,How long did it burn?,1 day,2 days,4 days,1 week,1 hour,C,text_30.txt
T30Q5,Which famous building was destroyed?,Tower of London,St Paul's Cathedral,Buckingham Palace,The Shard,Big Ben,B,text_30.txt
T30Q6,Where did people escape to?,The fields,The river,The hills,Caves,Basements,B,text_30.txt
T30Q7,Who rebuilt St Paul's?,King Charles,Thomas Farriner,Christopher Wren,Isaac Newton,The Mayor,C,text_30.txt
T30Q8,How did London change after the fire?,Wider streets and brick houses,No more bakeries,More wooden houses,Fewer people,No churches,A,text_30.txt
T30Q9,"""Sparks flew up."" Which word is the verb?",Sparks,Flew,Up,And,Set,B,text_30.txt
T30Q10,How many people died?,Thousands,Millions,Very few recorded,Hundreds,None,C,text_30.txt

T10Q7,Why was Pluto reclassified?,It disappeared.,It exploded.,It was too small.,It moved away.,Scientists forgot about it.,C,text_10.txt
T10Q8,"What does ""terrestrial"" mean in this context?",Earth-like / Rocky,Alien,Gas-filled,Cold,Distant,A,text_10.txt
T10Q9,What is the Kuiper Belt filled with?,Stars,Black holes,Icy bodies and dwarf planets,Aliens,Gas,C,text_10.txt
T10Q10,"""Scientists decided it was too small."" Which word is the verb?",Scientists,Decided,It,Too,Small,B,text_10.txt

